No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
11;乔丹-沃尔什;Jordan Walsh;3;2;6;69;78;79;79;72;62;63;63;70;72;70;76;64;71;20;0;凯尔特人;1;3;2100000;0;202338;2926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;泽维尔-蒂尔曼;Xavier Tillman Sr.;4;5;6;56;72;61;70;78;75;75;73;65;60;58;62;78;70;24;3;凯尔特人;1;1;2500000;0;202035;940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;尼米亚斯-奎塔;Neemias Queta;5;4;7;52;80;50;70;78;74;86;55;80;40;50;62;78;70;23;2;凯尔特人;1;1;2050000;0;202139;1170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;奥谢-布里塞特;Oshae Brissett;3;4;6;55;72;68;71;71;71;70;66;64;69;59;63;70;67;25;4;凯尔特人;1;2;2470000;0;201900;897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;JD-戴维森;JD Davison;1;0;6;69;60;69;67;68;71;60;69;61;71;42;63;66;65;23;1;凯尔特人;1;1;1350000;0;202253;1757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;德鲁-彼得森;Drew Peterson;3;4;6;67;64;62;64;59;67;69;69;62;67;66;63;65;65;23;0;凯尔特人;1;1;53176;0;202300;3097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;斯维亚托斯拉夫-米哈伊柳克;Sviatoslav Mykhailiuk;3;2;6;55;81;83;77;70;50;50;60;65;83;65;73;54;64;26;5;凯尔特人;1;1;1730000;0;201847;2032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;米卡尔-布里奇斯;Mikal Bridges;3;4;9;69;82;84;86;84;70;72;81;80;83;84;84;80;83;27;5;篮网;2;2;21700000;0;201810;415;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
19;尼古拉斯-克拉克斯顿;Nicolas Claxton;5;0;9;60;89;60;68;85;91;86;73;75;50;55;69;91;81;24;4;篮网;2;1;10000000;0;201931;1145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;本-西蒙斯;Ben Simmons;1;2;9;86;87;50;58;80;81;83;83;80;30;50;65;87;75;27;7;篮网;2;2;37860000;0;201601;156;0;3;0;0;0;1;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0
21;卡梅伦-约翰逊;Cameron Johnson;4;3;8;64;81;86;76;82;60;73;70;77;81;68;79;72;76;27;4;篮网;2;4;27000000;0;201911;737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;卡梅隆-托马斯;Cam Thomas;2;3;8;64;79;83;83;87;57;65;67;82;83;84;81;70;76;21;2;篮网;2;2;3250000;0;202127;1504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;丹尼斯-施罗德;Dennis Schröder;1;0;8;82;77;83;82;81;45;63;74;77;77;80;85;68;78;30;10;篮网;2;2;13000000;0;201317;667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;多里安-芬尼-史密斯;Dorian Finney-Smith;3;4;8;65;76;78;75;82;67;74;76;75;72;70;74;77;76;30;7;篮网;2;2;13390000;0;201600;464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;朗尼-沃克;Lonnie Walker;2;3;8;60;79;82;81;82;57;63;70;75;80;72;76;69;73;25;5;篮网;2;1;2350000;0;201818;2214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;戴罗恩-夏普;Day'Ron Sharpe;5;0;7;56;84;64;61;82;75;87;65;79;36;36;62;82;73;21;2;篮网;2;2;2750000;0;202129;1577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;诺亚-克劳尼;Noah Clowney;4;5;7;57;77;68;69;78;75;80;55;71;66;63;67;75;71;19;0;篮网;2;4;4750000;0;202321;2917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;基恩-约翰逊;Keon Johnson;2;3;7;60;77;65;75;79;61;63;76;69;66;67;66;72;69;21;2;篮网;2;1;53176;0;202121;1612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;达里克-怀特黑德;Dariq Whitehead;3;2;8;70;76;71;74;80;53;67;63;69;71;67;72;65;70;18;0;篮网;2;4;4500000;0;202322;509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;特伦登-沃特福特;Trendon Watford;4;5;6;61;78;69;71;79;65;79;53;66;68;64;69;71;70;22;2;篮网;2;1;2700000;0;202100;2218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;杰伦-威尔森;Jalen Wilson;3;4;6;59;75;64;68;75;72;71;59;73;64;63;65;69;68;23;0;篮网;2;2;1450000;0;202351;2934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;雅各布-吉尔亚德;Jacob Gilyard;1;0;6;70;65;69;68;68;65;70;68;62;72;58;67;68;68;26;1;篮网;2;1;53176;0;202200;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;丹尼斯-史密斯;Dennis Smith Jr.;1;0;7;67;77;69;67;78;47;68;64;67;72;64;69;65;67;26;6;篮网;2;1;2490000;0;201709;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;凯塔-贝茨-迪奥普;Keita Bates-Diop;3;4;6;55;70;69;79;70;60;69;60;63;70;67;66;63;66;28;5;篮网;2;2;2500000;0;201848;847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;杰伦-马丁;Jaylen Martin;2;0;6;68;65;65;59;53;50;49;59;61;65;59;62;48;55;19;0;篮网;2;1;53176;0;202300;3004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;杰伦-布伦森;Jalen Brunson;1;2;10;84;87;91;92;90;64;69;78;87;89;90;96;80;89;27;5;尼克斯;3;3;25000000;0;201833;419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;OG-阿奴诺比;OG Anunoby;3;4;9;58;85;84;82;85;81;75;86;80;80;73;78;86;84;26;6;尼克斯;3;1;18000000;0;201723;344;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
38;朱利叶斯-兰德尔;Julius Randle;4;5;9;75;89;75;80;87;67;85;66;88;81;80;86;80;83;29;9;尼克斯;3;2;28060000;0;201407;252;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;约什-哈特;Josh Hart;4;3;8;75;82;82;74;95;70;92;78;80;74;65;81;90;85;28;6;尼克斯;3;5;20000000;0;201730;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;唐特-迪温琴佐;Donte DiVincenzo;2;3;8;73;75;91;82;84;65;70;81;76;88;80;84;79;82;27;5;尼克斯;3;4;12500000;0;201817;443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
41;以赛亚-哈尔滕施泰因;Isaiah Hartenstein;5;0;7;72;85;60;70;84;80;86;65;80;60;60;74;85;80;25;5;尼克斯;3;1;7800000;0;201743;484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;米切尔-罗宾逊;Mitchell Robinson;5;0;7;55;85;55;67;81;85;87;70;80;47;58;66;87;77;25;5;尼克斯;3;3;15000000;0;201836;263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;普雷舍斯-阿丘瓦;Precious Achiuwa;4;5;7;60;79;60;65;85;75;83;68;74;60;60;66;82;74;23;3;尼克斯;3;1;3300000;0;202020;767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;博扬-博格达诺维奇;Bojan Bogdanovic;4;3;8;62;75;86;81;81;50;73;75;75;87;81;80;69;75;34;9;尼克斯;3;2;17850000;0;201131;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;谢克-米尔顿;Shake Milton;2;1;7;68;76;80;76;76;73;64;76;68;81;67;75;74;75;27;5;尼克斯;3;2;5000000;0;201824;1310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;亚历克-伯克斯;Alec Burks;2;1;7;55;65;83;82;83;51;69;73;71;81;72;72;71;72;32;12;尼克斯;3;1;10000000;0;201112;398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;迈尔斯-麦克布莱德;Miles McBride;1;2;7;72;78;81;79;82;62;60;77;70;77;70;78;73;76;22;2;尼克斯;3;1;15600000;0;202136;1283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;杜安-华盛顿;Duane Washington Jr.;1;0;6;72;77;77;78;75;53;52;51;65;79;68;76;54;66;23;2;尼克斯;3;1;53176;0;202100;1858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;达匡-杰弗里斯;DaQuan Jeffries;3;4;6;63;67;71;70;69;60;59;66;61;68;61;64;62;64;26;2;尼克斯;3;1;53176;0;201900;1089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;雅各布-托平;Jacob Toppin;4;0;6;72;62;71;65;59;57;71;57;67;70;68;68;58;63;23;0;尼克斯;3;1;1800000;0;202300;3005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;查理-布朗;Charlie Brown;3;0;6;63;68;70;75;65;55;61;60;62;72;64;67;57;63;27;4;尼克斯;3;1;1100000;0;201900;1740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;杰里科-西姆斯;Jericho Sims;5;0;6;53;78;50;56;75;74;74;49;66;41;30;53;71;63;24;2;尼克斯;3;3;1640000;0;202158;1568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;莫马蒂-迪亚基特;Mamadi Diakite;4;3;6;55;68;64;67;74;60;60;60;63;64;45;60;62;61;26;3;尼克斯;3;1;53176;0;202000;1777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;乔尔-恩比德;Joel Embiid;5;0;10;75;92;80;92;87;85;92;70;91;80;92;94;91;92;29;9;76人;4;4;33300000;0;201403;100;0;6;0;1;4;0;0;0;0;0;0;2;0;0;3;0;0;0;1;0;0
55;泰雷斯-马克西;Tyrese Maxey;1;2;9;83;84;88;89;85;66;67;79;87;88;82;93;78;86;22;3;76人;4;1;2480000;0;202021;603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;托拜厄斯-哈里斯;Tobias Harris;4;3;8;71;81;82;85;83;68;80;70;81;80;82;84;78;81;31;12;76人;4;1;34360000;0;201119;487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;凯利-乌布雷;Kelly Oubre Jr.;3;2;7;60;82;78;80;84;69;75;81;80;80;70;76;81;80;28;8;76人;4;1;7300000;0;201515;319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;尼古拉斯-巴图姆;Nicolas Batum;4;3;7;67;74;84;80;78;70;74;76;65;70;60;74;76;75;35;15;76人;4;1;11000000;0;200825;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;巴迪-希尔德;Buddy Hield;3;2;8;65;79;88;85;78;60;70;73;75;90;76;82;71;78;31;7;76人;4;1;24430000;0;201606;720;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;穆罕默德-班巴;Mohamed Bamba;5;0;8;54;79;76;68;78;84;78;56;70;65;63;69;79;75;25;5;76人;4;1;3200000;0;201806;372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;罗伯特-科温顿;Robert Covington;3;4;8;60;79;75;76;80;71;76;82;70;70;70;71;80;77;33;10;76人;4;1;12980000;0;201300;548;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
62;凯尔-洛瑞;Kyle Lowry;2;1;8;83;74;73;75;77;71;68;80;70;70;72;76;77;76;37;17;76人;4;1;28330000;0;200624;266;0;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
63;德安东尼-梅尔顿;De'Anthony Melton;2;1;7;76;70;81;77;76;63;67;81;67;75;69;75;74;75;25;5;76人;4;1;8750000;0;201846;1300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;卡梅隆-佩恩;Cameron Payne;1;2;8;79;70;82;80;79;50;60;70;70;75;74;80;66;74;29;7;76人;4;1;6330000;0;201514;647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;保罗-里德;Paul Reed;5;4;7;58;81;68;59;82;77;82;55;78;60;40;65;79;73;24;3;76人;4;1;1740000;0;202058;1212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;小肯扬-马丁;Kenyon Martin Jr.;3;4;8;60;76;76;73;82;67;75;60;72;63;66;69;72;72;22;3;76人;4;1;1860000;0;202052;1254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;特奎维恩-史密斯;Terquavion-Smith;2;0;6;61;65;76;73;70;61;64;64;63;70;64;66;64;65;21;0;76人;4;1;950000;0;202300;2862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;杰夫-道丁;Jeff Dowtin;2;3;6;67;68;65;61;65;66;63;62;62;66;37;59;62;61;26;3;76人;4;1;53176;0;202000;1764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;瑞奇-昆西尔四世;Ricky Council IV;2;0;6;68;55;69;64;59;61;64;58;60;70;65;63;57;60;22;0;76人;4;1;53176;0;202300;2947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;斯科蒂-巴恩斯;Scottie Barnes;4;3;9;79;90;78;79;84;76;80;81;84;75;72;85;84;85;22;2;猛龙;5;2;9000000;0;202104;182;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
71;布鲁斯-布朗;Bruce Brown;3;2;8;75;83;74;80;84;65;76;77;76;77;70;80;78;80;27;5;猛龙;5;2;22500000;0;201842;1739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
72;伊曼纽尔-奎克利;Immanuel Quickley;1;2;8;79;78;84;82;81;59;68;70;80;82;80;86;71;79;24;3;猛龙;5;1;2310000;0;202025;563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;RJ-巴雷特;RJ Barrett;3;2;8;73;85;80;76;86;65;70;70;85;78;77;82;75;79;23;4;猛龙;5;4;20880000;0;201903;184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;凯利-奥利尼克;Kelly Olynyk;5;4;8;78;83;80;80;79;63;79;65;77;75;78;84;73;79;32;10;猛龙;5;1;12330000;0;201313;815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;小加里-特伦特;Gary Trent Jr.;2;3;8;65;80;83;82;80;60;66;74;76;85;75;79;72;76;25;5;猛龙;5;1;18000000;0;201837;1493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;雅各布-珀尔特尔;Jakob Poeltl;5;0;8;56;81;55;71;80;84;87;63;80;43;50;64;85;75;28;7;猛龙;5;4;20000000;0;201609;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;克里斯-布歇;Chris Boucher;4;5;8;50;80;65;71;82;74;76;68;75;65;65;67;78;73;31;6;猛龙;5;2;11750000;0;201700;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
78;杰伦-麦克丹尼尔斯;Jalen McDaniels;4;3;6;71;75;70;71;76;71;75;61;66;69;66;71;73;72;26;3;猛龙;5;1;1960000;0;202028;1286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;乔丹-沃拉;Jordan Nwora;3;2;6;68;77;78;79;78;55;60;65;75;78;69;77;63;71;24;3;猛龙;5;1;3200000;0;202045;2216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
80;加勒特-坦普尔;Garrett Temple;2;1;7;68;76;76;82;78;48;64;62;68;77;72;75;62;69;37;14;猛龙;5;1;2100000;0;200900;692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;格雷迪-迪克;Gradey Dick;2;3;8;67;75;77;72;75;65;68;68;70;75;68;72;70;71;19;0;猛龙;5;4;6750000;0;202313;1796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;奥查伊-阿巴吉;Ochai Agbaji;3;2;7;55;72;68;73;78;60;65;68;68;74;63;66;68;68;23;1;猛龙;5;3;6500000;0;202214;748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;雅翁-弗里曼;Javon Freeman-Liberty;2;0;6;72;60;79;56;59;51;65;68;65;76;59;67;59;63;23;0;猛龙;5;1;1800000;0;202200;3022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;默罕莫多-盖伊;Mouhamadou Gueye;5;0;6;53;64;56;61;69;70;69;55;67;60;63;58;67;63;22;0;猛龙;5;1;53176;0;202200;3132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;琼泰-波特;Jontay Porter;5;4;6;60;66;58;66;63;62;65;55;61;50;54;59;60;59;24;3;猛龙;5;1;53176;0;202000;1721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;DJ-卡尔顿;D.J. Carton;1;0;6;71;60;67;57;65;43;64;57;58;64;61;62;55;59;23;0;猛龙;5;1;53176;0;202100;3129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;德马尔-德罗赞;DeMar DeRozan;3;4;10;78;88;75;92;87;65;75;76;90;75;92;89;79;85;34;14;公牛;6;1;27300000;0;200909;98;0;6;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;扎克-拉文;Zach LaVine;2;3;9;76;82;85;81;82;63;71;73;85;84;84;85;75;80;28;9;公牛;6;4;43000000;0;201413;119;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;尼古拉-武切维奇;Nikola Vucevic;5;0;8;70;87;72;78;82;65;87;58;84;78;79;83;77;80;33;12;公牛;6;3;20000000;0;201116;322;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;亚历克斯-卡鲁索;Alex Caruso;2;1;8;78;78;80;75;82;76;70;89;71;77;66;78;84;81;29;6;公牛;6;2;9250000;0;201600;1108;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
91;朗佐-鲍尔;Lonzo Ball;1;2;7;84;70;83;71;76;70;81;83;72;84;65;81;82;81;26;6;公牛;6;2;21250000;0;201702;191;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;科比-怀特;Coby White;1;2;9;77;86;85;81;84;60;65;74;84;83;80;87;74;81;23;4;公牛;6;3;13330000;0;201907;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;贾文特-格林;Javonte Green;2;3;6;59;79;75;70;76;70;72;75;80;75;79;72;75;74;30;4;公牛;6;1;53176;0;201900;993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;帕特里克-威廉姆斯;Patrick Williams;4;3;8;65;76;78;72;79;65;70;83;69;76;66;74;75;74;22;3;公牛;6;1;7500000;0;202004;711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;安德烈-德拉蒙德;Andre Drummond;5;0;7;53;81;51;65;79;75;92;56;76;42;63;62;81;72;30;11;公牛;6;1;3300000;0;201209;206;0;2;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
96;阿约-多桑姆;Ayo Dosunmu;2;3;7;71;83;80;79;81;60;64;67;82;77;73;79;69;74;23;2;公牛;6;1;2100000;0;202138;951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;托里-克雷格;Torrey Craig;4;3;6;61;72;75;76;78;67;74;61;66;71;67;70;72;71;33;6;公牛;6;2;2680000;0;201400;1150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;达伦-特里;Dalen Terry;3;2;8;62;77;69;73;79;64;67;70;72;71;63;69;71;71;20;1;公牛;6;3;5500000;0;202218;697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;朱利安-菲利普斯;Julian Phillips;3;4;6;60;73;70;71;70;69;72;71;71;68;65;67;71;70;20;0;公牛;6;3;2250000;0;202335;2923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;奥努拉尔普-比蒂姆;Onuralp Bitim;3;2;6;72;70;72;69;66;66;61;70;72;71;70;71;65;69;24;0;公牛;6;1;2050000;0;202100;3021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;杰文-卡特;Jevon Carter;1;0;6;76;72;71;70;70;50;58;68;63;74;61;72;61;67;28;5;公牛;6;3;6700000;0;201832;1912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;安德鲁-冯克;Andrew Funk;2;0;6;71;64;75;71;71;62;58;61;62;73;64;69;61;65;24;0;公牛;6;1;53176;0;202300;3124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;亨利-德雷尔;Henri Drell;2;3;6;72;60;76;56;60;65;65;59;59;70;60;64;59;62;23;0;公牛;6;1;53176;0;202200;3128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;阿达马-萨诺戈;Adama Sanogo;4;5;6;63;62;69;58;62;60;70;60;62;68;61;62;61;61;23;0;公牛;6;1;1100000;0;202300;3008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;多诺万-米切尔;Donovan Mitchell;2;1;10;84;88;89;92;90;69;70;79;87;90;91;94;81;88;27;6;骑士;7;2;32600000;0;201713;131;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;埃文-莫布里;Evan Mobley;4;5;10;70;86;71;75;88;87;90;66;81;70;66;78;90;84;22;2;骑士;7;2;9500000;0;202103;624;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
107;达里厄斯-加兰;Darius Garland;1;0;9;83;80;86;85;81;60;71;74;82;84;81;89;74;82;24;4;骑士;7;5;38600000;0;201905;234;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;贾勒特-阿伦;Jarrett Allen;5;0;9;58;89;60;70;87;89;89;65;85;53;64;72;91;82;25;6;骑士;7;3;20000000;0;201722;342;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;马克思-斯特鲁斯;Max Strus;3;2;7;70;75;85;82;82;63;61;79;75;85;75;81;73;78;27;4;骑士;7;4;15750000;0;201900;683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
