No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;dpoy;fmvps;mvps;rings;sixmans
15;詹姆斯-杨;James Young;2;3;5;60;74;66;60;72;60;64;56;67;68;51;61;61;61;20;1;凯尔特人;1;2;1750000;0;201417;1590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;佩里-琼斯;Perry Jones;3;4;6;60;60;61;60;71;60;62;57;61;63;51;56;60;59;24;3;凯尔特人;1;1;2040000;0;201228;1417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;布鲁克-洛佩斯;Brook Lopez;5;0;9;65;88;72;79;82;86;80;64;88;68;78;82;84;83;27;7;篮网;2;3;20000000;0;200810;265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;赛迪斯-杨;Thaddeus Young;4;3;8;66;83;68;82;85;73;83;76;80;66;77;77;83;80;27;8;篮网;2;3;11200000;0;200712;729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;博扬-博格达诺维奇;Bojan Bogdanovic;3;4;8;66;73;85;80;79;66;70;71;70;80;79;77;73;76;26;1;篮网;2;2;3430000;0;201131;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;贾瑞特-杰克;Jarrett Jack;1;2;7;77;75;67;78;81;62;67;72;78;68;75;76;73;75;32;10;篮网;2;1;6300000;0;200522;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;肖恩-基尔帕特里克;Sean Kilpatrick;2;3;6;66;78;76;79;80;62;66;69;77;75;74;75;70;73;25;1;篮网;2;1;320000;0;0;2977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;唐纳德-斯隆;Donald Sloan;1;2;6;71;73;71;75;76;60;65;71;69;65;71;72;69;71;27;4;篮网;2;1;1020000;0;0;3054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;朗戴-霍利斯-杰弗森;Rondae Hollis-Jefferson;4;5;6;60;76;64;74;81;69;73;61;73;62;70;69;73;71;20;0;篮网;2;3;1340000;0;201523;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;韦恩-艾灵顿;Wayne Ellington;2;0;6;60;72;82;77;75;61;64;67;69;79;72;73;67;70;28;6;篮网;2;2;920000;0;200928;785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;肖恩-拉金;Shane Larkin;1;0;5;76;74;72;71;73;60;62;68;65;70;72;74;66;70;23;2;篮网;2;1;1500000;0;201318;1176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;安德里亚-巴尼亚尼;Andrea Bargnani;5;4;8;63;74;70;71;72;66;71;62;70;68;61;70;68;69;30;9;篮网;2;1;1040000;0;200601;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;亨利-希姆斯;Henry Sims;4;3;6;60;76;53;74;80;66;74;65;70;50;68;64;73;69;25;3;篮网;2;1;160000;0;0;5001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;威利-里德;Willie Reed;5;4;6;60;71;59;76;77;68;72;57;65;59;69;66;70;68;25;0;篮网;2;1;950000;0;0;5001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;马克尔-布朗;Markel Brown;2;0;5;67;64;72;75;76;60;65;62;64;71;72;68;65;67;23;1;篮网;2;1;850000;0;201444;887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;谢尔盖-卡拉肖夫;Sergey Karasev;3;2;5;60;71;72;68;75;60;66;60;67;73;58;66;64;66;22;2;篮网;2;1;1600000;0;201319;1906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;克里斯-麦卡洛;Chris McCullough;4;5;5;60;68;69;60;81;60;70;59;65;68;53;62;68;65;20;0;篮网;2;3;1140000;0;201529;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;托马斯-罗宾逊;Thomas Robinson;2;1;6;60;65;73;80;75;60;65;57;63;74;67;68;63;65;24;3;篮网;2;2;980000;0;201205;1236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;卡梅隆-安东尼;Carmelo Anthony;3;4;10;72;80;84;90;87;68;77;65;84;85;90;87;77;83;31;12;尼克斯;3;3;24000000;0;200303;18;0;8;0;0;2;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0
34;克里斯塔普斯-波尔津吉斯;Kristaps Porziņģis;4;5;9;65;81;78;79;81;86;79;63;81;80;78;80;82;81;20;0;尼克斯;3;4;4500000;0;201504;197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;罗宾-洛佩斯;Robin Lopez;5;0;7;63;82;58;68;83;80;79;66;76;55;68;69;82;76;27;7;尼克斯;3;4;13000000;0;200815;599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;何塞-卡尔德隆;Jose Calderon;1;0;8;80;72;81;81;77;60;64;69;68;73;77;81;68;75;34;10;尼克斯;3;2;7400000;0;0;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;阿隆-阿弗拉罗;Arron Afflalo;2;3;7;67;76;80;82;80;63;67;68;74;72;82;77;71;74;30;8;尼克斯;3;1;8000000;0;200727;341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;德里克-威廉姆斯;Derrick Williams;3;4;6;63;73;69;70;82;67;68;69;72;70;68;68;73;72;24;4;尼克斯;3;2;4900000;0;201102;311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;兰斯-托马斯;Lance Thomas;5;4;7;60;76;58;75;81;68;75;60;69;58;69;68;74;71;27;4;尼克斯;3;1;1650000;0;0;3003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;兰斯顿-加洛韦;Langston Galloway;3;4;7;60;79;72;77;80;62;75;60;70;72;68;71;70;71;24;1;尼克斯;3;1;850000;0;0;525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;凯文-塞拉芬;Kevin Seraphin;5;0;6;63;72;65;68;77;72;75;60;66;62;59;66;74;70;26;5;尼克斯;3;1;2800000;0;201017;664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;杰里安-格兰特;Jerian Grant;1;2;6;60;66;73;60;79;78;78;63;69;74;50;64;75;69;23;0;尼克斯;3;2;1570000;0;201519;1808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;萨沙-武贾西奇;Sasha Vujacic;2;3;5;63;70;73;82;77;60;68;62;67;75;68;70;66;69;31;11;尼克斯;3;2;1360000;0;200427;719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
44;凯尔-奥奎因;Kyle O'Quinn;4;0;6;60;64;69;82;79;60;66;57;64;68;72;68;66;67;25;3;尼克斯;3;4;3750000;0;201249;812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;萨纳西斯-阿德托昆博;Thanasis Antetokounmpo;4;5;6;60;74;58;62;79;64;68;58;68;60;61;62;68;65;23;0;尼克斯;3;1;110000;0;201451;751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;吉默-弗雷戴特;Jimmer Fredette;2;0;5;62;63;74;64;75;60;64;61;64;67;63;63;64;64;26;4;尼克斯;3;1;60000;0;201110;466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;路易斯-阿蒙德森;Lou Amundson;3;0;5;60;66;62;60;74;60;67;62;68;56;62;59;65;63;33;9;尼克斯;3;2;1650000;0;0;3038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;科林恩索尼-厄利;Cleanthony Early;3;2;5;60;64;63;61;74;60;63;62;62;61;62;59;64;62;24;1;尼克斯;3;1;850000;0;201434;954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;乔尔-恩比德;Joel Embid;5;4;10;66;84;76;83;82;81;80;65;82;77;81;83;82;82;22;1;76人;4;4;7590000;0;201403;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;罗伯特-科温顿;Robert Covington;4;3;8;66;72;81;70;81;74;75;80;72;80;64;74;80;77;25;2;76人;4;2;2000000;0;0;548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;诺伦斯-诺埃尔;Nerlens Noel;5;4;7;63;78;60;66;79;80;82;65;75;58;63;68;81;75;21;1;76人;4;1;3460000;0;201306;288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;贾希尔-奥卡福;Jahlil Okafor;5;4;8;62;83;57;68;80;71;77;57;83;58;67;71;75;73;20;0;76人;4;3;4580000;0;201503;357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;伊斯梅尔-史密斯;Ish Smith;1;2;6;80;67;70;74;77;60;64;67;68;74;77;76;68;72;27;5;76人;4;1;1100000;0;0;1453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;杰拉米-格兰特;Jerami Grant;3;4;8;67;73;71;67;80;66;71;70;70;68;65;68;73;72;21;1;76人;4;2;850000;0;0;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;以赛亚-坎南;Isaiah Canaan;1;2;6;70;69;81;67;77;62;63;68;68;75;64;72;68;70;24;2;76人;4;1;950000;0;201334;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;霍利斯-汤普森;Hollis Thompson;3;4;6;62;71;77;68;78;67;69;68;68;74;62;68;71;70;24;2;76人;4;1;950000;0;0;5001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;卡尔-兰德里;Carl Landry;4;0;7;62;77;67;74;78;66;72;63;70;60;70;69;71;70;32;8;76人;4;2;6500000;0;200731;1193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;TJ-麦康奈尔;T.J. McConnell;1;2;7;75;71;65;72;74;64;64;72;67;61;70;70;70;70;23;0;76人;4;2;530000;0;0;609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;托尼-罗滕;Tony Wroten;2;1;6;68;65;64;68;78;65;64;72;67;65;70;65;71;68;22;4;76人;4;1;170000;0;201225;598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;埃尔顿-布兰德;Elton Brand;4;5;8;67;73;60;69;72;69;74;59;68;60;62;66;69;68;36;16;76人;4;1;890000;0;199901;95;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
61;克里斯蒂安-伍德;Christian Wood;4;5;7;60;70;68;71;73;67;70;58;68;73;66;68;67;68;20;0;76人;4;1;310000;0;0;717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;尼克-施陶斯卡斯;Nik Stauskas;2;3;6;64;67;71;68;75;60;64;68;67;70;68;67;67;67;22;1;76人;4;3;2870000;0;201408;669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;里乔恩-霍姆斯;Richaun Holmes;4;5;7;60;73;55;67;72;67;72;60;70;60;62;63;68;66;22;0;76人;4;2;1050000;0;201537;519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;索尼-威姆斯;Clarence Weems;2;3;7;64;69;71;70;76;60;67;59;66;72;59;66;65;65;29;7;76人;4;1;2800000;0;200839;2193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;肯道尔-马绍尔;Kendall Marshall;2;1;5;68;72;66;60;72;63;64;61;62;66;63;64;64;64;24;3;76人;4;1;2140000;0;201213;1264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;德马尔-德罗赞;DeMar DeRozan;2;3;9;75;88;74;89;90;70;72;76;89;74;95;86;81;84;26;6;猛龙;5;1;9500000;0;200909;98;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;凯尔-洛瑞;Kyle Lowry;1;2;9;84;78;86;78;85;65;67;84;80;85;77;87;80;84;29;9;猛龙;5;2;12000000;0;200624;266;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;约纳斯-瓦兰丘纳斯;Jonas Valančiūnas;5;0;8;64;87;65;77;80;79;85;60;80;60;68;76;82;79;23;3;猛龙;5;1;4660000;0;201105;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;俾斯麦-比永博;Bismack Biyombo;4;5;6;60;76;55;69;80;81;82;65;70;55;62;64;81;73;23;4;猛龙;5;1;3000000;0;201107;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;德马雷-卡罗尔;DeMarre Carroll;3;4;6;64;68;79;67;80;67;70;72;68;75;66;69;74;72;29;6;猛龙;5;4;13500000;0;200927;533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;特伦斯-罗斯;Terrence Ross;2;3;7;60;74;79;81;81;65;65;68;68;75;72;72;71;72;24;3;猛龙;5;1;3550000;0;201208;597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;路易斯-斯科拉;Luis Scola;4;5;7;65;76;74;73;74;69;72;65;72;68;66;72;71;72;35;8;猛龙;5;1;3000000;0;200257;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;帕特里克-帕特森;Patrick Patterson;4;5;6;65;72;74;74;77;67;71;64;79;70;74;74;71;72;26;5;猛龙;5;2;6200000;0;201014;645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;科里-约瑟夫;Cory Joseph;1;2;5;72;71;67;68;75;61;70;71;68;72;70;70;71;71;24;4;猛龙;5;4;7000000;0;201129;1620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
75;詹姆斯-约翰逊;James Johnson;3;4;6;63;70;66;64;78;67;68;74;65;75;73;66;73;71;28;6;猛龙;5;1;2500000;0;200916;1618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;杰森-汤普森;Jason Thompson;4;5;6;62;77;65;67;78;68;70;65;70;65;63;68;71;70;29;7;猛龙;5;1;330000;0;200812;1489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;诺曼-鲍威尔;Norman Powell;2;1;8;63;72;77;76;77;62;64;66;67;72;70;71;67;69;22;0;猛龙;5;3;650000;0;201546;844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;德朗-赖特;Delon Wright;2;1;6;67;71;68;67;78;65;64;74;67;66;63;66;72;69;23;0;猛龙;5;3;1510000;0;201520;1190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;卢卡斯-诺奎拉;Lucas Nogueira;5;0;6;55;71;50;60;79;78;72;61;65;55;60;58;76;68;23;1;猛龙;5;2;1840000;0;201316;1367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;布鲁诺-卡博克洛;Bruno Caboclo;3;4;7;60;72;59;67;76;67;66;73;67;59;71;63;71;68;20;1;猛龙;5;2;1520000;0;201420;1901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;安东尼-本内特;Anthony Bennett;3;4;6;61;67;65;70;78;60;67;61;70;65;63;64;66;66;22;2;猛龙;5;1;3650000;0;201301;852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;吉米-巴特勒;Jimmy Butler;2;3;10;78;88;75;84;89;71;75;88;86;76;86;84;87;85;26;4;公牛;6;4;15000000;0;201130;89;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
83;保罗-加索尔;Pau Gasol;4;5;9;75;81;67;85;82;84;86;64;81;65;83;81;84;83;35;14;公牛;6;1;7450000;0;200103;114;0;5;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0
84;德里克-罗斯;Derrick Rose;1;2;9;79;84;71;81;82;64;65;74;85;74;82;83;74;79;27;7;公牛;6;2;820000;0;200801;50;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
85;尼古拉-米罗蒂奇;Nikola Mirotić;4;3;8;64;73;85;72;81;68;73;69;72;80;65;75;75;75;24;1;公牛;6;2;5540000;0;201123;622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;乔金-诺阿;Joakim Noah;5;0;7;73;72;50;65;82;83;82;67;72;50;60;65;84;75;30;8;公牛;6;1;13400000;0;200709;287;0;2;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0
87;泰-吉布森;Taj Gibson;4;5;7;63;80;60;77;80;72;78;67;75;55;70;70;77;74;30;6;公牛;6;2;8500000;0;200926;522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;鲍比-波蒂斯;Bobby Portis;4;5;7;61;77;69;73;82;70;76;64;73;65;70;70;76;73;20;0;公牛;6;3;1390000;0;201522;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;道格-麦克德莫特;Doug McDermott;3;4;6;62;71;84;78;77;62;66;66;71;75;70;73;68;72;23;1;公牛;6;3;2380000;0;201411;1287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;伊托万-摩尔;E'Twaun Moore;2;3;6;63;72;83;79;77;64;66;73;70;72;68;73;71;72;26;4;公牛;6;1;1020000;0;201155;1322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;贾斯廷-霍勒迪;Justin Holiday;2;3;7;63;68;81;75;78;66;67;74;68;75;67;71;73;72;26;3;公牛;6;3;950000;0;0;516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;托尼-斯内尔;Tony Snell;3;2;6;64;65;75;72;78;65;67;72;67;70;64;67;71;70;24;2;公牛;6;2;1540000;0;201320;1463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;迈克-邓利维;Mike Dunleavy Jr.;2;3;7;65;67;83;74;72;65;64;65;65;75;63;71;66;69;35;13;公牛;6;2;4500000;0;200203;439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;阿隆-布鲁克斯;Aaron Brooks;1;0;6;71;72;69;70;75;60;63;67;70;69;67;71;66;69;30;8;公牛;6;2;2000000;0;200726;417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;克里斯蒂亚诺-费利西奥;Cristiano Felicio;5;4;5;60;73;55;62;75;68;73;59;68;50;63;62;70;66;23;0;公牛;6;2;530000;0;0;461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;卡梅隆-巴尔斯托;Cameron Bairstow;2;1;7;60;73;66;61;80;62;72;61;68;68;52;62;69;65;25;1;公牛;6;1;850000;0;201449;827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;勒布朗-詹姆斯;LeBron James;3;4;11;89;94;83;84;92;79;82;81;93;86;89;95;89;93;31;12;骑士;7;1;22970000;0;200301;2;0;11;2;9;2;0;0;0;0;0;1;1;0;5;1;0;2;4;2;0
98;凯里-欧文;Kyrie Irving;1;2;10;81;88;91;93;85;65;67;72;88;88;90;95;75;86;23;4;骑士;7;4;14750000;0;201101;136;0;3;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
99;凯文-乐福;Kevin Love;4;5;9;72;82;86;76;84;74;90;66;83;81;75;84;83;83;27;7;骑士;7;1;19500000;0;200805;121;0;3;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
100;JR-史密斯;J.R. Smith;2;3;7;67;76;87;81;82;68;66;78;68;82;73;78;76;77;30;11;骑士;7;1;5000000;0;200418;296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
101;特里斯坦-汤普森;Tristan Thompson;5;4;7;61;79;58;60;84;75;84;66;72;55;62;65;82;74;24;4;骑士;7;5;14000000;0;201104;695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;马修-德拉维多瓦;Matthew Dellavedova;2;1;6;72;66;72;68;80;64;66;80;66;71;65;68;75;72;25;2;骑士;7;1;1150000;0;0;434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;莫里斯-威廉姆斯;Mo Williams;1;2;7;72;67;72;81;74;61;63;67;68;72;78;75;66;71;33;12;骑士;7;1;2100000;0;200348;710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;提莫菲-莫兹戈夫;Timofey Mozgov;5;0;6;62;78;55;62;78;76;80;61;70;50;61;63;78;71;29;5;骑士;7;1;4950000;0;0;1334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;伊曼-香珀特;Iman Shumpert;2;3;7;68;65;68;72;79;68;67;79;65;70;69;67;76;71;25;4;骑士;7;4;9000000;0;201117;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;理查德-杰弗森;Richard Jefferson;3;4;7;64;76;73;67;76;66;67;72;68;70;60;68;71;70;35;14;骑士;7;2;1500000;0;200113;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;钱宁-弗莱;Channing Frye;4;0;6;60;67;84;73;72;67;68;60;65;77;64;71;67;69;32;10;骑士;7;2;7800000;0;200508;465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;乔丹-麦克雷;Jordan McRae;2;3;5;61;70;71;67;76;64;65;69;69;70;57;65;69;67;24;0;骑士;7;1;170000;0;201458;1290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;萨沙-考恩;Sasha Kaun;5;4;7;60;76;57;60;80;61;75;58;69;58;55;63;70;67;30;0;骑士;7;2;1300000;0;200856;1917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;乔-哈里斯;Joe Harris;2;3;7;62;65;78;74;75;62;64;62;64;76;61;68;65;67;24;1;骑士;7;2;850000;0;201433;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;詹姆斯-琼斯;James Jones;3;4;6;60;64;83;75;71;62;64;61;64;70;62;68;63;66;35;12;骑士;7;2;1500000;0;200350;1422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
112;邓台-琼斯;Dahntay Jones;4;3;5;60;60;61;70;72;67;65;62;60;64;68;61;66;64;35;12;骑士;7;1;10000;0;200320;1412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
