No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info
27;凯-索托;Kai Sotto;5;0;10;62;82;72;61;83;71;75;65;79;70;56;72;77;74;22;1;菲律宾;3;0;0;0;0;1643;Kai Zachary Perlado Sotto（英语：/ˈkaɪ/，他加禄语：[ˈkaɪ ˈsɔtɔ],生于 2002 年 5 月 11 日），菲律宾职业篮球运动员。他身高 7 英尺 3 英寸（2.21 米），司职中锋，效力于日本乙级联赛越谷字母队。他与劳尔-迪洛（Raul Dillo）并列成为史上最高的菲律宾职业篮球运动员。索托和迪洛也是菲律宾第二高的男子球员，仅次于身高 7 英尺 4 英寸（2.24 米）的威廉-比斯科乔（William Biscocho）。
28;CJ-培瑞兹;CJ Perez;2;3;7;71;63;71;78;69;71;61;76;64;76;74;71;70;71;30;1;菲律宾;3;0;0;0;0;5001;杰马尔·培瑞兹（英语：Jaymar Perez，1993年11月17日—）为菲律宾男子篮球运动员，培瑞兹的父亲为尼日利亚人，母亲为菲律宾海外移工，培瑞兹出生于英属香港九龙，成长于菲律宾邦阿西楠省包蒂斯塔，由于出生于海外被PBA视为海外菲律宾球员。培瑞兹在2018年PBA选秀上被哥伦比亚Dyip以状元签选进球队，2021年2月被球队交易至生力啤酒人。
29;德怀特-拉莫斯;Dwight Ramos;2;1;7;79;65;76;64;70;65;63;75;64;76;63;71;69;70;25;0;菲律宾;3;0;0;0;0;5001;德怀特-拉莫斯（Dwight Ramos，出生于 1998 年 9 月 2 日）是一名菲律宾裔美国职业篮球运动员，效力于日本乙级联赛北海道莱万加队。他在大学期间曾效力于菲律宾大学体育协会（UAAP）的雅典耀蓝鹰队（Ateneo Blue Eagles）。他还曾为菲律宾国家篮球队效力。
30;梅森-弗朗西斯-阿莫斯;Mason Francis Amos;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;19;0;菲律宾;3;0;0;0;0;5001;0
31;凯文-奎安鲍;Kevin Quiambao;4;0;8;62;72;72;61;73;71;73;55;69;70;56;66;69;68;23;0;菲律宾;3;0;0;0;0;5001;卡尔-凯文-阿加尼亚-基安博（Karl Kevin Argana Quiambao）（2001 年 4 月 22 日出生）是菲律宾大学篮球运动员，效力于菲律宾大学体育协会（UAAP）的德拉萨尔绿箭队。他曾获得 UAAP 青少年组和老年组的冠军，并多次代表菲律宾国家队出战。
32;卡尔-塔马约;Carl Tamayo;4;0;8;62;72;72;61;73;71;73;55;69;70;56;66;69;68;23;0;菲律宾;3;0;0;0;0;5001;卡尔-文森特-卡贝隆-塔马约（Carl Vincent Cabellon Tamayo）（2001 年 2 月 13 日出生），菲律宾职业篮球运动员，现效力于韩国篮球联赛（KBL）昌原 LG Sakers 队。他曾在菲律宾大学体育协会（UAAP）UP Fighting Maroons 队打大学篮球。他曾获得 UAAP 青少年组和老年组的冠军，并多次为菲律宾国家队效力。他的身高为 6 英尺 8 英寸（2.02 米）。
33;卡尔文-奥夫塔纳;Calvin Oftana;3;4;8;62;72;72;61;73;71;73;55;69;70;56;64;68;67;28;0;菲律宾;3;0;0;0;0;5001;卡尔文-约翰-奥夫塔纳（Calvin John Oftana，1996 年 1 月 3 日出生）是菲律宾职业篮球运动员，现效力于菲律宾篮球协会（PBA）的 TNT Tropang Giga 篮球队。他曾在大学篮球联赛中效力于圣贝达红狮队（San Beda Red Lions）。他司职小前锋和大前锋两个位置。在大学期间，他还担任过投篮后卫。
34;贾斯廷-布朗利;Justin Brownlee;3;4;8;62;72;72;61;73;71;73;55;69;70;56;64;68;67;36;0;菲律宾;3;0;0;0;0;5001;贾斯廷·布朗利（英语：Justin Brownlee，1988年4月23日—），生于美国蒂夫顿，美国篮球运动员，司职小前锋，他在2018年1月加盟ABL球队菲律宾火焰，并协助菲律宾火焰在总决赛以场数3–2击败莫诺吸血鬼，首夺ABL总冠军。
35;克里斯-纽森;Chris Newsome;2;3;8;62;72;72;61;73;71;73;55;69;70;56;64;67;65;33;0;菲律宾;3;0;0;0;0;5001;克里斯托弗-伊利亚-杜克-纽瑟姆（Christopher Elijah Duque Newsome，生于 1990 年 7 月 25 日）是一名菲律宾裔美国职业篮球运动员，现效力于菲律宾篮球协会（PBA）的 Meralco Bolts 篮球队。
36;约什-吉迪;Josh Giddey;2;3;8;85;80;77;79;82;55;77;76;82;70;76;82;75;79;21;2;澳大利亚;4;0;0;0;202106;233;约书亚·詹姆斯·“约什”·吉迪（Joshua James Josh Giddey，2002年10月10日—）为澳大利亚职业篮球运动员，场上主打控球后卫位置，现效力于NBA芝加哥公牛。在2021年NBA选秀中以首轮第6顺位被俄克拉何马城雷霆选中。
37;戴森-丹尼尔斯;Dyson Daniels;1;2;8;72;75;71;74;79;70;75;87;70;71;69;74;83;78;20;1;澳大利亚;4;0;0;0;202208;921;戴森·丹尼尔斯（Dyson Daniels），全名戴森·詹姆斯·丹尼尔斯（Dyson James Daniels），2003年3月17日出生于澳大利亚本迪戈，毕业于澳大利亚体育学院NBA全球学院，澳大利亚篮球运动员，司职后卫，效力于NBA亚特兰大老鹰队。
38;尼克-凯;Nicholas Kay;4;5;7;69;74;71;75;81;78;73;65;73;70;76;74;77;76;31;0;澳大利亚;4;0;0;0;0;5001;尼古拉斯-科林-凯（Nicholas Colin Kay，1992 年 8 月 3 日出生），澳大利亚职业篮球运动员，曾效力于日本乙级联赛岛根县须佐之男魔术队。他曾在大学篮球队 Metro State Roadrunners 打球，之后在国家篮球联赛（NBL）开始职业生涯。他曾在 2019 年和 2020 年随珀斯野猫队两次夺得 NBL 总冠军。2019 年，他还在惠灵顿圣徒队赢得了新西兰 NBL 总冠军和联赛 MVP 荣誉。2021 年，他随澳大利亚国家队获得东京奥运会铜牌。
39;约什-格林;Josh Green;3;2;7;63;73;80;74;83;70;64;81;65;80;68;72;77;75;22;3;澳大利亚;4;0;0;0;202018;479;乔舒亚·本杰明·格林（英语：Joshua Benjamin Green，2000年11月16日—），出生于澳大利亚，为澳洲职业篮球运动员，现效力于NBA夏洛特黄蜂，场上位置为得分后卫。
40;丹特-埃克萨姆;Dante Exum;3;2;7;73;78;71;75;80;58;65;76;75;65;77;75;71;74;28;9;澳大利亚;4;0;0;0;201405;776;丹特·李曼·埃克萨姆（英语：Dante Liman Exum，1995年7月13日—）为澳洲男子篮球运动员，场上位置为控球后卫，现时效力NBA达拉斯独行侠。他曾代表澳洲参加2020年夏季奥林匹克运动会，获得铜牌。
41;乔-英格尔斯;Joe Ingles;3;2;8;80;76;84;79;82;50;60;75;70;75;65;79;67;74;36;9;澳大利亚;4;0;0;0;200900;333;乔·英格尔斯（英语：Joe Ingles，1987年10月2日—），澳大利亚篮球运动员。毕业于澳洲体育学院，司职小前锋。他也代表澳大利亚国家篮球队参赛。
42;乔克-兰代尔;Jock Landale;5;4;7;54;78;70;75;78;72;75;60;75;70;64;71;74;73;27;2;澳大利亚;4;0;0;0;201800;1192;乔克·兰代尔（英语：Jock Landale，1995年10月25日—），澳大利亚男子篮球运动员。他曾代表澳大利亚国家队参加2020年夏季奥林匹克运动会篮球比赛，获得一枚铜牌。他也曾参加2019年国际篮联篮球世界杯。现效力于NBA休斯敦火箭。
43;帕蒂-米尔斯;Patty Mills;1;2;9;72;74;84;82;80;45;60;60;69;87;74;81;61;72;35;14;澳大利亚;4;0;0;0;200955;619;帕特里克·萨米·米尔斯（英语：Patrick Sammie Mills，1988年8月11日—），澳大利亚职业篮球运动员，目前效力NBA洛杉矶快船。他在2009年NBA选秀中第2轮第25顺位被波特兰开拓者选中，是NBA有史以来第二位澳洲原住民球员。
44;杜普-里斯;Duop Reath;5;0;7;60;85;60;70;75;70;75;53;85;65;65;73;71;72;27;0;澳大利亚;4;0;0;0;201800;5001;杜普-托马斯-雷斯（/ˈduːɒp ˈriːθ/ DOO-op REETH,1996 年 6 月 26 日出生），澳大利亚职业篮球运动员，现效力于美国国家篮球协会（NBA）波特兰开拓者队。他在大学期间曾效力于 Lee College Runnin' Rebels 篮球队和路易斯安那州立大学老虎队，是澳大利亚篮球队的一员，并在 2020 年东京奥运会上获得铜牌。
45;杰克-麦克维;Jack McVeigh;3;0;8;62;72;72;61;73;71;73;55;69;70;56;64;68;67;28;0;澳大利亚;4;0;0;0;0;5001;杰克-爱德华-麦克维（Jack Edward McVeigh，1996 年 6 月 27 日出生），澳大利亚职业篮球运动员，现效力于美国国家篮球协会（NBA）休斯敦火箭队，与 NBA G 联盟里奥格兰德河谷毒蛇队（Rio Grande Valley Vipers）签有双向合同。他曾在 2015 年至 2018 年期间为内布拉斯加州 Cornhuskers 篮球队打大学篮球。2018 年，麦克维在美国国家篮球联赛（NBL）阿德莱德 36 人队开始职业生涯，并在该队效力了三个赛季。2021 年，他加盟塔斯马尼亚杰克跳投队（Tasmania JackJumpers），参加了该队的首个赛季，并在 2024 年率队夺得 NBL 总冠军，获得 NBL 总决赛最有价值球员奖。麦克维代表澳大利亚国家队参加了 2024 年夏季奥运会。
46;马修-德拉维多瓦;Matthew Dellavedova;1;2;6;69;70;73;78;70;51;63;61;63;75;66;72;60;67;33;10;澳大利亚;4;0;0;0;201300;434;马修·德拉维多瓦（英语：Matthew Dellavedova，1990年9月8日—），澳大利亚职业篮球运动员，司职控球后卫和得分后卫。
47;内森-索比;Nathan Sobey;1;2;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;21;0;澳大利亚;4;0;0;0;0;5001;内森-亚当-索比（Nathan Adam Sobey，1990 年 7 月 14 日出生）是澳大利亚职业篮球运动员，现效力于澳大利亚国家篮球联赛（NBL）东南墨尔本凤凰队。他曾在怀俄明牛仔队（Wyoming Cowboys）打大学篮球，2014 年代表凯恩斯大班队（Cairns Taipans）首次参加 NBL 联赛。他是在 2020 年东京奥运会上获得铜牌的澳大利亚 Boomers 队成员之一。
48;威尔-马格奈;Will Magnay;5;0;6;52;62;57;66;64;62;68;53;61;50;43;53;61;57;25;5;澳大利亚;4;0;0;0;201800;1998;威尔-斯科特-马格奈（Will Scott Magnay，出生于 1998 年 6 月 10 日）是澳大利亚职业篮球运动员，现效力于全国篮球联赛（NBL）塔斯马尼亚 JackJumpers 队。他还与 NBL1 北区的黄金海岸滚球队（Gold Coast Rollers）签有合同。他曾为塔尔萨金飓风队打了一个赛季的大学篮球。
49;雅尼-魏泽尔;Yanni Wetzell;5;4;7;72;79;66;70;79;81;81;59;80;68;70;76;80;78;27;1;新西兰;5;0;0;0;0;5001;扬尼克-克莱门斯-托马斯-韦策尔（Yannick Clemens Thomas Wetzell，1996 年 7 月 8 日出生） 是一名新西兰职业篮球运动员，效力于德国篮球甲级联赛（BBL）和欧洲联赛的柏林阿尔巴队。他曾效力于圣玛丽响尾蛇队（St. Mary's Rattlers）、范德堡准将队（Vanderbilt Commodores）和圣地亚哥州立阿兹台克队（San Diego State Aztecs）。
50;谢伊-伊利;Shea Ili;1;0;7;75;75;71;77;66;67;73;80;72;73;72;76;74;75;31;1;新西兰;5;0;0;0;0;5001;谢伊利（Shea Ili）（1992 年 10 月 6 日出生）是一名新西兰职业篮球运动员，效力于澳大利亚全国篮球联赛（NBL）墨尔本联队。他还与 NBL1 南区的桑德灵厄姆军刀队（Sandringham Sabres）签有合同。他于 2014 年在新西兰 Breakers 队首次参加澳大利亚 NBL 联赛。他是 2015 年 Breakers 夺冠球队的成员之一，并在 2018 年被评为 NBL 最有进步球员。他于 2019 年加盟曼联队，并在 2021 年赢得了个人第二个 NBL 总冠军。他在 2022 年被评为 NBL 最佳第六人，在 2024 年被评为 NBL 最佳防守球员。
51;芬恩-德拉尼;Finn Delany;3;4;7;80;64;76;76;73;62;70;71;70;78;76;76;69;74;28;0;新西兰;5;0;0;0;0;5001;芬恩·德拉尼（英语：Finn Delany，1995年8月12日—），新西兰男子篮球运动员，场上位置是前锋。他曾代表新西兰国家队参加2018年英联邦运动会篮球比赛，获得一枚铜牌。
52;乔丹-恩加泰;Jordan Ngatai;3;0;7;81;67;73;81;67;65;71;71;71;73;75;77;68;74;31;1;新西兰;5;0;0;0;0;5001;乔丹-恩加泰（Jordan Ngatai，1993 年 3 月 7 日出生）是一名新西兰职业篮球运动员，效力于芬兰 Korisliiga 联赛的 Pyrintö。他还与新西兰全国篮球联赛（NZNBL）的霍克湾鹰队（Hawke's Bay Hawks）签有合同。他曾在澳大利亚 NBL 的新西兰 Breakers 队效力过六个赛季，是新西兰高大黑人队的常客。在新西兰 NBL 联赛中，他曾四次获得冠军。
53;鲁本-特-蓝吉;Reuben Te Rangi;2;3;7;82;68;73;70;67;62;69;72;70;75;66;74;68;71;29;1;新西兰;5;0;0;0;0;5001;鲁本-特-兰吉（Reuben Te Rangi，1994 年 10 月 14 日出生）是一名新西兰职业篮球运动员，效力于新西兰全国篮球联赛（NZNBL）奥克兰图阿拉队（Auckland Tuatara）。他是新西兰高大黑人队的常客。
54;伊扎亚-勒阿法;Izayah Le'afa;1;0;7;78;65;68;62;65;55;69;78;68;75;62;70;69;70;27;1;新西兰;5;0;0;0;0;5001;Izayah Mauriohooho-Le'afa （1996 年 11 月 7 日出生）是新西兰职业篮球运动员，效力于新西兰全国篮球联赛（NZNBL）惠灵顿圣徒队。他还与澳大利亚全国篮球联赛（NBL）的悉尼国王队签有合同。他的职业生涯始于新西兰全国篮球联赛（NZNBL），为惠灵顿圣徒队效力了三个赛季，之后于 2016 年前往美国，为萨克拉门托州立大学黄蜂队打大学篮球。2020 年毕业后，他为奥克兰哈士奇队效力了一个赛季，并获得了 NZNBL 年度最佳防守球员和 NZNBL 全明星五佳球。随后，他加盟澳大利亚NBL东南墨尔本凤凰队，打了两个赛季后，于2022年加盟新西兰Breakers队。
55;科里-韦伯斯特;Corey Webster;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;21;0;新西兰;5;0;0;0;0;5001;科里-韦伯斯特（Corey Webster）（1988 年 11 月 29 日出生），新西兰职业篮球运动员，现效力于新西兰全国篮球联赛（NZNBL）奥克兰图塔拉队（Auckland Tuatara）。他在美国兰布斯大学打了一个赛季的大学篮球后，于 2008 年首次加盟澳大利亚全国篮球联赛（NBL）的新西兰闯入者队，并在 2011 年、2013 年和 2015 年随俱乐部夺得冠军。
56;泰瑞尔-哈里森;Tyrell Harrison;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;24;0;新西兰;5;0;0;0;0;5001;泰瑞尔-哈里森（Tyrell Harrison）是一名篮球运动员，出生于 1999 年 7 月 6 日。他身高七英尺（2米13/7-0）。他是一名中锋，最近效力于新西兰 NBL 的 Manawatu Jets 队。
57;汤姆-沃达诺维奇;Tom Vodanovich;4;0;8;62;72;72;61;73;71;73;55;69;70;56;66;69;68;29;0;新西兰;5;0;0;0;0;5001;托马斯-詹姆斯-沃达诺维奇（Thomas James Vodanovich）（1994 年 7 月 28 日出生）是一名新西兰职业篮球运动员，现效力于新西兰全国篮球联赛（NZNBL）奥克兰图塔拉队。他还与澳大利亚全国篮球联赛（NBL）东南墨尔本凤凰队（South East Melbourne Phoenix）签有合同。他曾于 2013 年至 2017 年在美国为詹姆斯-麦迪逊公爵队（James Madison Dukes）打过大学篮球，之后在澳大利亚 NBL 的新西兰闯入者队效力过两年。他于 2021 年加入悉尼国王队，并在 2022 年赢得了 NBL 总冠军。2024 年，他在塔斯马尼亚 JackJumpers 夺得第二个 NBL 总冠军。2020 年，他在马纳瓦图喷气机队效力时被评为新西兰 NBL MVP。
58;山姆-门嫩加;Sam Mennenga;3;0;8;62;72;72;61;73;71;73;55;69;70;56;64;68;67;22;0;新西兰;5;0;0;0;0;5001;塞缪尔-门能加（Samuel Mennenga）是一名篮球运动员，出生于 2001 年 12 月 12 日。他的身高为六英尺八英寸（2米04/6-8）。他是一名小前锋，最近效力于希腊的 AS Karditsas - Heba A1。
59;伊桑-鲁斯巴奇;Ethan Rusbatch;2;3;8;62;72;72;61;73;71;73;55;69;70;56;64;67;65;23;0;新西兰;5;0;0;0;0;5001;伊桑-罗斯巴奇（Ethan Rusbatch，1992 年 5 月 24 日出生）是一名新西兰篮球运动员，现效力于新西兰全国篮球联赛（NZNBL）富兰克林公牛队。他曾在美国的林肯小径学院打了一个赛季的大学篮球，之后于 2012 年在索斯兰鲨鱼队开始了他的新西兰 NBL 职业生涯。2013 年为塔拉纳基山人队效力后，他在坎特伯雷公羊队度过了随后的四个赛季。他于 2018 年加盟霍克湾鹰队，并在 2019 年获得 NZNBL 最有进步球员奖。他还曾在澳大利亚 NBL 的新西兰 Breakers 队效力过两个赛季。
60;弗林-卡梅隆;Flynn Cameron;1;0;7;55;71;55;59;76;68;72;55;73;57;59;57;66;61;24;1;新西兰;5;0;0;0;0;5001;弗林-卡梅隆是一名篮球运动员，出生于 2000 年 6 月 30 日。他的身高为六英尺三英寸（1米90/6-3）。他是一名控球后卫，最近效力于新西兰 NBL 的 Taranaki Mountainairs 队。
61;杜达-萨纳泽;Duda Sanadze;2;0;7;83;80;73;78;75;71;70;77;75;74;77;80;75;78;31;1;格鲁吉亚;6;0;0;0;0;5001;杜达-萨纳泽（格鲁吉亚语：დუდა სანაძე）（1992 年 7 月 25 日出生）是格鲁吉亚职业篮球运动员，效力于匈牙利篮球联赛的 Atomerőmű SE。
