image;name;nameBirth;potential;positionFirst;positionSecond;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;draft;info
339;朱芳雨;Zhu Fangyu;11;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
357;贾利尔-奥卡福;Jahlil Okafor;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
363;贾斯汀·帕顿;JUSTIN PATTON;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
364;威廉-巴顿;WILLIAM BARTON;7;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
380;乔丹-贝尔;Jordan Bell;9;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
399;斯科特-布雷尔;Scott Burrell;7;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
408;埃里克-布莱德索;Eric Bledsoe;9;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
411;迪-布朗;Dee Brown;7;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
417;阿隆-布鲁克斯;Aaron Brooks;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
421;曾凡博;Zeng Fanbo;9;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
426;萨穆埃尔-戴勒姆波特;Samuel Dalembert;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
427;崔永熙;Cui Yongxi;9;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
431;里基-戴维斯;Ricky Davis;7;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
453;肯尼斯-法里德;Kenneth Faried;8;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
466;詹姆斯-弗雷戴特;Jimmer Fredette;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
482;郭昊文;Guo Haowen;8;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
517;朱旭航;Zhu Xuhang;8;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
526;姜伟泽;Jiang Weize;9;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
552;乔-克劳福德;Joe Crawford;8;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
585;林葳;Lin Wei;9;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
587;吴前;Wu Qian;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
607;阿隆-麦基;Aaron McKie;8;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
619;帕特里克-米尔斯;Patrick Mills;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
627;多纳塔斯-莫泰尤纳斯;Donatas Motiejnunas;9;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
630;伊曼纽尔-穆迪埃;Emmanuel Mudiay;8;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
632;拉蒙德-穆雷;Lamond Murray;8;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
647;卡梅隆-佩恩;Cameron Payne;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
675;兰斯-斯蒂芬森;Lance Stephenson;9;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
685;斯特罗迈尔-斯威夫特;Stromile Swift;7;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
696;唐正东;Tang Zhengdong;10;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
706;邦齐-威尔斯;Bonzi Wells;7;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
714;邹阳;Zou Yang;8;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
717;克里斯坦-伍德;Christian Wood;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
721;J.J.-希克森;J. J. Hickson;7;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
726;薛玉洋;Xue Yuyang;8;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
730;杨瀚森;Yang Hansen;10;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
731;杨鸣;Yang Ming;8;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
733;艾派-尤度;Ekpe Udoh;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
734;于德豪;Yu Dehao;6;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
735;余嘉豪;Yu Jiahao;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
743;张宁;Zhang Ning;8;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
744;张镇麟;Zhang Zhenlin;9;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
746;祝铭震;Zhu Mingzhen;8;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
753;科尔-阿尔德里奇;Cole Aldrich;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
770;昆西-阿希;Quincy Acy;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
778;安德烈-艾米特;Andre Emmett;9;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
779;罗伊尔-艾维;Royal Ivey;8;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
795;克里斯-安德森;Chris Andersen;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
802;约翰尼-奥布莱恩特;Johnny O'Bryant III;8;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
803;丹尼尔-奥顿;Daniel Orton;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
832;布兰登-巴斯;Brandon Bass;8;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
845;约什-鲍威尔;Josh Powell;7;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
849;达柳斯-贝兹利;DARIUS BAZLEY;9;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
872;特雷沃-布克;Trevor Booker;7;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
874;安德雷-布拉切;Andray Blatche;9;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
876;德胡安-布莱尔;DeJuan Blair;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
886;洛伦佐-布朗;Lorenzo Brown;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
900;马尚-布鲁克斯;MarShon Brooks;10;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
927;托尼-道格拉斯;Toney Douglas;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
932;埃克-迪奥古;Ike Diogu;9;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
937;哈米杜-迪亚洛;HAMIDOU DIALLO;9;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
943;昆西-杜比;Quincy Douby;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
953;马库斯-道希特;Marcus Douthit;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
955;哈马迪-恩迪亚耶;Hamady N'Diaye;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
958;塔克-法尔;Tacko Fall;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
964;凯-费尔德;Kay Felder;9;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
967;杰拉德-费奇;Gerald Fitch;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
970;诺阿-冯莱;Noah Vonleh;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
976;约翰尼-弗林;Jonny Flynn;7;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
982;贾马尔-富兰克林;Jamaal Franklin;9;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
992;埃里克-格林;Erick Green;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
994;杰拉德-格林;Gerald Green;8;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
998;安德鲁-古德洛克;Andrew Goudelock;7;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
999;阿奇-古德温;ARCHIE GOODWIN;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1007;约什-哈雷尔森;Josh Harrellson;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1008;大卫-哈里森;David Harrison;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1017;艾尔-哈灵顿;Al Harrington;8;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1035;贾斯汀-汉密尔顿;Justin Hamilton;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1038;泰勒-汉斯布鲁;Tyler Hansbrough;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1043;克里斯-赫伦;Chris Herren;7;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1056;多雷尔-莱特;Dorell Wright;8;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1058;罗德尼-怀特;Rodney White;8;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1061;沙隆-莱特;Sharone Wright;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1087;哈里-贾尔斯;HARRY GILES;8;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1090;科里-杰弗森;Cory Jefferson;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1096;皮埃尔-杰克逊;Pierre Jackson;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1111;罗德尼-卡尼;Rodney Carney;8;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1113;阿萨兰-卡兹米;Arsalan Kazemi;8;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1117;雷恩-凯利;Ryan Kelly;8;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1125;丹特-康宁汉姆;Dante Cunningham;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1126;贾里德-康宁汉姆;Jared Cunningham;7;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1129;威利-考利-斯坦;WILLIE CAULEY-STEIN;7;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1131;诺里斯-科尔;Norris Cole;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1137;马迪-科林斯;Mardy Collins;7;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1142;厄尔-克拉克;Earl Clark;7;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1149;乔丹-克劳福德;Jordan Crawford;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1157;塞玛杰-克里斯顿;Semaj Christon;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1161;贾瓦里斯-克里坦顿;Javaris Crittenton;8;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1168;谢里夫-库珀;Sharife Cooper;6;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1180;加尼-拉瓦尔;Gani Lawal;8;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1181;鲍比-布朗;Bobby Brown;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1186;原帅;Yuan Shuai;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1188;朱利安-莱特;Julian Wright;7;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1193;卡尔-兰德里;Carl Landry;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1206;里基-莱多;Ricky Ledo;8;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1236;托马斯-罗宾逊;Thomas Robinson;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1245;肯尼思-洛夫顿;KENNETH LOFTON;9;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1251;贾雷尔-马丁;Jarell Martin;8;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1281;雷-麦卡勒姆;Ray McCallum;8;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1282;杰拉尼-麦考伊;Jelani McCoy;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1289;本-麦克勒莫;Ben McLemore;7;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1290;乔丹-迈克瑞;Jordan McRae;8;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1291;沃农-麦克林;Vernon Macklin;7;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1312;乔丹-米奇;JORDAN MICKEY;8;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1325;阿奈特-摩尔特里;Arnett Moultrie;9;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1327;埃里克-莫兰德;Eric Moreland;7;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1329;达柳斯-莫里斯;Darius Morris;8;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1333;杰罗姆-莫伊索;Jérôme Moïso;7;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1336;凯文-墨菲;Kevin Murphy;7;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1340;D.J.-姆本加;DJ Mbenga;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1341;沙巴兹-穆罕穆德;Shabazz Muhammad;8;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1346;内森-奈特;NATHAN KNIGHT;8;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1358;安德鲁-尼克尔森;Andrew Nicholson;9;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1363;詹姆斯-纳纳利;James Nunnally;7;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1375;杰雷米-帕戈;Jeremy Pargo;8;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1383;阿德里安-佩恩;Adreian Payne;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1386;雷吉纳德-佩里;REGINALD PERRY;8;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1392;德克斯特-皮特曼;Dexter Pittman;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1396;迈尔斯-普拉姆利;Miles Plumlee;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1406;威尔森-钱德勒;Wilson Chandler;9;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1408;杰罗姆-乔丹;Jerome Jordan;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1411;达米安-琼斯;DAMIAN JONES;8;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1413;多米尼克-琼斯;Dominique Jones;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1420;特伦斯-琼斯;Terrence Jones;8;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1430;艾德蒙-萨姆纳;EDMOND SUMNER;9;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1432;约什-塞尔比;Josh Selby;8;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1437;贾马尔-桑普森;Jamal Sampson;7;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1437;高铭阳;Gao Mingyang;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1448;拉斯-史密斯;Russ Smith;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1451;汤米-史密斯;Tommy Smith;6;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1454;马瑞斯-斯贝茨;Marreese Speights;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1471;贾内尔-斯托克斯;Jarnell Stokes;9;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1476;艾尔-索顿;Al Thornton;8;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1482;杰里米-泰勒;Jeremy Tyler;8;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1483;杰梅因-泰勒;Jermaine Taylor;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1489;杰森-汤普森;Jason Thompson;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1500;马尔科-托多罗维奇;Marko Todorovic;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1506;马尔科姆-托马斯;Malcolm Thomas;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1509;哈基姆-瓦里克;Hakim Warrick;8;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1517;德万特-威尔逊;DEVANTE WILSON;8;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1527;胡明轩;Hu Mingxuan;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1532;马库斯-威廉姆斯;Marcus Eliot Williams;7;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1534;特伦斯-威廉姆斯;Terrence Williams;8;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1537;谢尔顿-威廉姆斯;Shelden Williams;7;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1541;沃恩-韦弗;Von Wafer;9;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1551;德里克-沃顿;Derrick Walton Jr.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1557;威利-沃伦;Willie Warren;8;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1579;克里斯-辛格尔顿;Chris Singleton;7;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1584;盖尔雄-亚布塞莱;Guerschon Yabusele;8;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1611;德马尔-约翰逊;DerMarr Johnson;7;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1627;约翰-詹金斯;John Jenkins;7;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1628;伯纳德-詹姆斯;Bernard James;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1648;迪威-赫南德兹;Dewan Hernandez;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1660;克里斯蒂安-恩耶加;Christian Eyenga;7;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1672;考斯利-爱德华兹;Corsley Edwards;7;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1689;马利克-巴迪亚内;Malick Badiane;7;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
1701;大卫-本沃;David Benoit;7;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
