No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image
15;王梓旭;Wang Zixu;3;0;6;64;62;67;64;62;61;71;68;66;72;64;64;64;65;26;8;0;0;2;0;0;201724;5001
16;赵嘉浩;Zhao Jiahao;5;0;6;64;58;70;70;61;68;66;63;64;62;67;64;63;63;26;1;0;0;1;0;0;0;2589
17;刘天意;Liu Tianyi;2;0;7;68;55;71;58;63;67;66;64;65;70;67;63;63;63;30;12;吉林;1;1;0;0;201300;5001
18;丁皓然;Ding Haoran;3;0;6;65;58;59;80;57;67;63;65;65;65;67;64;61;63;28;9;吉林;1;2;0;0;201600;5001
19;陈冠中;Chen Guanzhong;1;0;7;67;63;51;56;64;67;63;63;65;61;66;59;62;60;24;1;吉林;1;1;0;0;0;5001
20;孔德高;Kong Degao;2;0;6;66;49;60;75;57;67;62;62;62;63;67;60;59;60;23;6;吉林;1;1;0;0;201900;5001
21;付博文;Fu Bowen;2;0;6;66;46;57;72;54;67;61;67;62;64;69;58;60;59;25;7;吉林;1;1;0;0;201800;5001
22;彭森傲;Peng SenAo;5;0;6;63;47;48;47;53;67;61;62;62;60;64;51;58;54;22;4;深圳;27;3;0;0;202100;5001
23;德兹明-威尔斯;DEZMINE WELLS;1;2;8;77;90;91;92;91;73;72;75;87;85;87;92;82;88;32;1;辽宁;2;1;0;0;202400;5001
24;弗格;KYLE FOGG;2;0;9;77;85;92;91;89;70;76;76;85;91;87;92;82;87;35;8;上海;21;1;0;0;201700;5001
25;赵继伟;Zhao Jiwei;1;2;11;90;69;87;84;80;67;70;83;69;90;71;88;79;84;29;12;辽宁;2;2;0;0;201300;5001
26;詹姆斯-韦伯三世;James Webb III;4;3;8;81;89;71;69;89;81;79;65;86;72;72;82;84;83;32;1;0;0;1;0;0;0;5001
27;张镇麟;Kevin Zhang;3;4;10;77;83;77;78;83;69;72;75;78;83;76;82;77;81;26;5;上海;21;3;0;0;202000;744
28;王岚嵚;WangLanQin;1;2;8;77;67;89;88;75;68;70;75;68;78;77;82;74;79;27;3;辽宁;2;1;0;0;202200;704
29;韩德君;Han Dejun;5;0;9;71;88;43;84;78;73;86;60;78;61;70;75;79;77;38;18;0;0;2;0;0;200700;5001
30;付豪;Fu Hao;4;5;8;67;84;66;88;81;69;76;65;76;69;76;78;75;76;27;10;辽宁;2;1;0;0;201500;2890
31;李晓旭;Li Xiaoxu;4;5;8;67;76;85;69;75;73;78;71;71;75;68;75;76;76;34;20;辽宁;2;2;0;0;200500;2840
32;鄢手骐;Yan Shouqi;2;1;6;69;62;84;76;71;68;69;81;67;79;71;74;74;74;28;7;辽宁;2;1;0;0;201800;5001
33;丛明晨;Cong Mingchen;3;4;6;65;76;79;72;74;65;62;71;76;74;70;74;68;72;30;11;0;0;1;0;0;201400;5001
34;贾斯汀-帕顿;JUSTIN PATTON;5;4;7;68;84;72;61;71;67;68;54;81;71;62;75;66;70;27;2;0;0;1;0;0;202300;363
35;黄秋实;Huang Qiushi;5;0;7;62;72;72;61;73;71;73;55;69;70;56;67;70;69;21;1;0;0;1;0;226;0;5001
36;任序航;Ren Xu Hang;5;0;7;62;72;72;61;73;71;73;55;69;70;56;67;70;69;23;1;0;0;1;0;0;0;5001
37;刘雁宇;Liu Yanyu;5;4;6;66;63;45;73;60;69;66;64;66;61;68;62;63;63;26;6;吉林;1;2;0;0;201900;5001
38;俞泽辰;Yu Zechen;3;4;6;64;50;75;67;60;68;63;64;63;66;65;62;62;63;24;5;辽宁;2;4;0;0;202000;5001
39;李虎翼;Hu Yi Li;2;3;6;66;52;65;59;61;68;64;65;63;66;66;59;63;61;22;1;辽宁;2;1;0;0;202400;5001
40;张陈治锋;Zhang Chen Zhifeng;5;0;8;64;58;45;62;55;68;67;63;64;61;65;57;61;59;23;1;辽宁;2;1;0;0;0;5001
41;张峻豪;Jun Hao Zhang;1;2;6;65;51;61;57;52;67;62;68;63;64;65;59;60;59;21;1;0;0;2;0;226;202400;5001
521;邢维皓;Xing Weihao;2;3;7;62;72;72;61;73;71;73;55;69;70;56;67;70;69;20;0;辽宁;2;0;0;0;0;5001
521;代彦龙;Dai Yanlong;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;18;0;辽宁;2;0;0;0;0;5001
42;赵率舟;Zhao Shuaizhou;3;0;7;64;51;73;46;54;68;63;64;63;66;64;57;59;59;30;12;吉林;1;4;0;0;201300;5001
521;杰隆-布朗;Jaylon Brown;1;2;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;30;0;辽宁;2;0;0;0;0;5001
43;盖利;JARMAR GULLEY;3;0;8;83;90;89;80;77;70;76;93;85;92;80;91;83;88;34;3;0;0;1;0;0;202200;5001
44;克里斯;Marquese Chriss;4;0;8;70;93;72;80;84;72;85;79;91;74;83;85;84;85;28;1;山东;3;1;0;0;0;1154
45;达拉斯-摩尔;DALLAS MOORE;2;1;8;77;86;90;84;74;67;71;83;79;92;83;89;77;83;30;1;吉林;1;1;0;0;202400;5001
46;高诗岩;Gao ShiYan;1;0;8;84;69;83;78;91;67;72;86;68;77;75;82;85;83;29;10;山东;3;3;0;0;201500;2905
47;于德豪;Yu Dehao;1;2;7;78;65;79;80;69;68;72;86;67;85;71;79;78;78;30;12;山东;3;2;0;0;201300;734
48;郭凯;Guo Kai;4;0;8;66;83;72;76;80;69;77;74;75;62;72;75;77;76;31;9;山东;3;1;0;0;201600;5001
49;谢智杰;Xie Zhijie;1;0;6;74;82;79;59;68;69;70;84;75;69;68;75;76;75;25;1;山东;3;1;0;0;0;5001
50;陈培东;Chen Peidong;2;0;6;70;72;89;64;76;68;67;75;70;93;68;77;73;75;26;6;山东;3;3;0;0;201900;5001
51;刘毅;Liu Yi;3;0;6;70;64;74;79;77;63;72;63;68;73;72;72;69;72;28;5;山东;3;2;0;0;202010;5001
52;陶汉林;Tao Hanlin;5;0;8;66;82;45;66;69;73;78;69;72;61;68;67;74;71;33;16;山东;3;3;0;0;200900;2835
53;郑晓垚;Zheng Xiaoyao;4;0;6;62;72;72;61;73;71;73;55;69;70;56;66;69;68;24;1;山东;3;1;0;0;0;5001
54;克里斯特-库马杰;CHRIST KOUMADJE;5;0;8;65;66;43;83;63;77;71;65;66;61;70;64;70;67;29;1;0;0;1;0;0;0;5001
55;陆翊铭;Lu Yiming;1;0;6;62;72;72;61;73;71;73;55;69;70;56;65;66;65;24;1;0;0;1;0;0;0;5001
56;赵仕浩;ZhaoShiHao;1;0;6;66;66;75;60;61;53;67;72;61;76;58;66;63;65;24;3;0;0;1;0;0;202210;5001
57;许梦君;Xu Mengjun;3;0;6;64;48;84;73;57;67;64;65;62;68;65;65;61;64;27;8;山东;3;1;0;0;201700;5001
58;何思雨;He Siyu;3;0;6;67;56;71;46;66;67;69;65;65;78;65;61;66;64;27;6;天津;8;3;0;0;201900;5001
59;张旭;Zhang Xu;3;0;6;64;51;74;71;56;69;62;65;63;62;65;62;60;62;26;7;0;0;2;0;0;201800;5001
60;孙桐林;Sun Tonglin;5;0;7;64;56;71;49;57;68;65;63;64;62;65;60;61;60;32;15;山东;3;1;0;0;201000;5001
61;侯沛佐;Hou Peizuo;3;0;6;64;59;57;54;54;68;64;63;64;62;66;57;59;59;26;7;0;0;2;0;0;201800;5001
62;米艾力;Ai Li Mi;1;0;6;63;45;57;48;55;67;61;62;62;64;64;54;58;56;22;1;山东;3;1;0;0;202400;5001
63;韦瑟斯庞;QUINNDARY WEATHERSPOON;2;1;8;85;94;87;84;93;73;76;81;95;86;78;93;86;90;28;1;青岛;4;1;0;0;202400;2199
64;杨瀚森;Yang Hansen;5;0;10;74;91;70;74;88;92;87;72;84;65;73;82;93;88;19;1;青岛;4;3;0;226;202400;730
65;乔丹-米奇;Jordan Mickey;4;5;8;71;89;79;81;87;79;85;77;91;75;78;85;87;86;31;1;青岛;4;1;0;0;0;1312
66;迈尔斯-鲍威尔;MYLES POWELL;1;2;9;84;85;78;77;82;67;75;71;79;89;74;86;76;82;27;1;山东;3;1;0;0;202400;1704
67;王睿泽;Wang Ruize;3;0;8;71;79;87;83;96;68;72;71;74;86;74;82;80;82;29;6;青岛;4;3;0;0;201900;2475
68;段昂君;Duan Angjun;2;0;8;71;79;80;75;88;71;66;76;73;80;73;77;79;78;22;1;青岛;4;2;0;0;202400;5001
69;赵嘉义;Zhao Jiayi;4;0;8;67;80;84;61;68;69;71;66;74;75;68;75;68;71;26;6;青岛;4;3;0;0;201900;5001
70;郭彬峰;GuoBinFeng;3;1;6;69;67;70;74;71;61;62;68;65;72;70;70;64;68;22;3;0;0;1;0;0;202200;5001
71;肯德尔-史密斯;KENDALL SMITH;2;0;8;69;68;77;68;60;67;66;67;67;65;70;69;63;67;30;1;0;0;1;0;0;0;5001
72;孙祥翔;Sun Xiangxiang;3;4;6;62;72;72;61;73;71;73;55;69;70;56;64;68;67;21;1;青岛;4;1;0;0;0;5001
73;杨金蒙;Yang Jinmeng;2;0;7;67;55;72;63;67;67;67;66;65;71;66;64;66;65;29;10;0;0;1;0;0;201500;5001
74;贾诚;Jia Cheng;5;0;6;64;56;61;77;61;69;66;63;64;64;67;63;64;63;33;6;0;0;1;0;0;201900;5001
75;刘家昕;Liu Jiaxin;1;0;6;64;48;58;77;59;67;62;65;62;64;66;61;61;61;25;1;0;0;1;0;0;0;5001
76;郭奇芳;Qi Fang Guo;2;0;7;66;61;67;55;58;67;63;64;65;64;66;61;61;61;26;2;青岛;4;2;0;0;202307;5001
77;常浩然;Chang Haoran;4;5;6;64;73;67;56;62;63;63;49;70;65;60;65;57;61;21;1;0;0;2;0;0;202400;5001
78;马俊杰;Ma Junjie;3;4;7;66;59;59;59;73;63;60;57;65;61;60;58;61;61;20;3;0;0;2;0;0;202200;5001
79;马志轩;MaZhiXuan;1;0;6;69;57;72;66;64;56;61;58;54;69;63;65;57;61;20;3;0;0;2;0;0;202200;5001
80;宋文浩;SongWenHao;1;2;6;75;55;74;63;54;50;62;60;57;69;62;67;53;61;20;3;北控;7;3;0;0;202200;5001
81;程望樊;ChengWangFan;1;0;7;65;49;66;71;53;67;62;64;62;63;65;62;59;60;21;3;上海;21;2;0;0;202200;5001
82;张效炎;ZhangXiaoYan;1;2;6;76;60;59;53;52;58;64;67;59;63;54;60;58;59;20;1;0;0;2;0;0;202400;5001
83;张科迪;Zhang Kedi;3;4;6;61;68;55;55;58;52;60;68;61;62;56;56;56;57;20;1;广州;28;3;0;0;202400;5001
84;纪卓;Ji Zhuo;4;0;7;63;46;48;48;51;67;64;62;62;60;64;50;57;54;24;5;青岛;4;4;0;0;202000;5001
521;卢嘉俊;Lu Jiajun;1;2;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;24;0;江西;5;0;0;0;0;5001
521;吴彦仑;Wu Yanlun;2;1;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;28;0;0;0;0;0;0;0;5001
521;刘川宁;Liu Chuanning;3;4;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;19;0;0;0;0;0;0;0;5001
15;王梓旭;Wang Zixu;3;0;6;64;62;67;64;62;61;71;68;66;72;64;64;64;65;26;8;江西;5;2;0;0;201724;5001
447;王向彬;Wang Xiangbing;3;2;6;64;67;61;62;65;63;72;60;67;68;66;63;64;64;26;6;江西;5;1;0;0;201900;5001
521;邓黎伟;Deng Liwei;1;2;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;19;0;江西;5;0;0;0;0;5001
521;荣家浩;Rong Jiahao;2;1;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;24;0;0;0;0;0;0;0;5001
521;王翊雄;Wang Yixiong;4;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;27;0;江西;5;0;0;0;202101;5001
85;杨越;YANG Y.;2;1;3;77;73;76;77;68;64;69;70;71;78;75;77;68;73;31;10;0;0;1;0;0;201500;5001
86;赵烨;Zhao Ye;3;4;6;72;69;69;64;69;65;70;74;71;70;65;68;70;70;27;10;0;5;1;0;0;201500;5001
87;贝利·斯蒂尔;BAYLEE LOUIS STEELE;5;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;28;1;湖北;14;1;0;0;0;5001
88;李林;Li Lin;5;0;7;62;72;72;61;73;71;73;55;69;70;56;67;70;69;37;7;0;0;1;0;0;201900;5001
89;黄子洋;Huang Ziyang;4;3;6;62;72;72;61;73;71;73;55;69;70;56;66;69;68;25;1;0;0;1;0;0;0;5001
90;刘力鹏;Liu Lipeng;4;3;6;62;72;72;61;73;71;73;55;69;70;56;66;69;68;28;1;石家庄;10;1;0;0;0;5001
91;王丛泽;Wang Congze;4;3;6;62;72;72;61;73;71;73;55;69;70;56;66;69;68;23;1;江西;5;1;0;0;0;5001
92;韩超;Han Chao;3;4;6;62;72;72;61;73;71;73;55;69;70;56;64;68;67;23;1;江西;5;1;0;0;0;5001
521;张海涛;Zhang Haitao;4;3;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;22;0;苏科;18;0;0;0;0;5001
521;袁春南;Yuan Chunnan;3;4;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;26;0;0;0;0;0;0;0;5001
521;弗拉迪米尔.布罗兹安斯基;Vladimír Brodziansky;4;5;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;31;0;0;0;0;0;0;0;5001
521;德文特格林;Devonte Green;2;0;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;28;0;0;0;0;0;0;0;5001
93;吕满;lvmam;3;4;6;62;72;72;61;73;71;73;55;69;70;56;64;68;67;28;1;0;0;1;0;0;0;5001
94;李炎涛;Li Yantao;5;0;9;64;77;58;55;70;72;66;56;77;60;62;66;67;66;24;5;江西;5;1;0;0;202000;5001
95;阿勒里克·朱万·弗里曼;Allerik Juwan Freeman;1;2;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;30;1;0;0;1;0;0;0;5001
96;郭杰;jieGuo;2;1;7;62;72;72;61;73;71;73;55;69;70;56;64;67;65;26;1;0;0;0;0;0;0;5001
97;李鸿颢;Li Honghao;1;2;7;62;72;72;61;73;71;73;55;69;70;56;65;66;65;20;1;0;0;1;0;0;0;5001
98;马泽来;Ma Zelai;2;1;6;62;72;72;61;73;71;73;55;69;70;56;64;67;65;25;3;0;0;1;0;0;202200;5001
99;刘俊文;liu jun wen;2;1;6;66;65;73;62;74;59;70;61;66;71;64;65;65;65;24;5;江西;5;1;0;0;202000;5001
100;哈里斯;Jalen Harris;2;3;8;62;78;76;73;73;48;62;52;65;77;63;70;56;64;27;1;0;0;1;0;0;0;1826
101;孙鸣阳;Sun Mingyang;5;0;6;69;48;54;52;73;67;63;62;64;64;64;56;66;61;31;1;0;0;1;0;0;202400;5001
521;麦尔文.贾蒙.弗雷泽;Melvin Frazier;2;3;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;28;0;0;0;0;0;0;0;1793
521;以赛亚·布里斯科;Isaiah Briscoe;1;2;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;29;0;0;0;0;0;0;0;2970
521;以赛亚·布里斯科;Isaiah Briscoe;1;2;8;62;72;72;61;73;71;73;55;69;70;56;67;70;69;29;0;福建;25;0;0;0;0;2970
102;周琦;Zhou Qi;5;0;11;70;92;84;69;76;89;85;78;87;71;75;85;88;86;29;11;北京;6;1;0;0;201400;338
103;杰曼;EUGENE GERMAN;2;0;9;90;94;83;72;82;68;76;78;94;89;70;91;79;85;32;3;北京;6;1;0;0;202200;5001
104;曾凡博;Zeng Fanbo;3;0;10;70;80;86;78;84;87;78;73;76;86;73;81;85;84;22;3;北京;6;2;0;20;202200;421
105;陈盈骏;Chen YingJun;1;0;9;87;64;87;90;82;69;69;79;67;84;79;87;78;83;31;8;北京;6;3;0;0;201702;5
106;奥莫特;ANUNWA OMOT;3;0;8;71;86;84;84;74;69;76;66;80;82;78;84;72;79;30;1;北京;6;1;0;0;202400;5001
107;翟晓川;Zhai Xiaochuan;4;0;9;73;86;70;85;65;71;86;68;79;75;74;82;74;78;32;14;北京;6;1;0;0;201100;5001
108;雷蒙;Lei Meng;3;0;7;70;70;88;84;78;68;70;76;69;78;75;79;75;78;29;10;北京;6;4;0;0;201500;5001
109;范子铭;Fan ziming;5;0;9;72;89;42;90;69;73;80;70;83;62;82;78;75;77;27;9;北京;6;4;0;0;201600;5001
110;所罗门;Richard Solomon;5;4;8;67;83;70;68;75;72;81;73;75;70;68;75;78;76;33;1;南京;17;1;0;0;202400;5001
111;塔瑞克;Taruike Jianiyou;5;0;6;71;86;74;59;70;76;77;66;77;62;67;75;75;75;27;8;北京;6;1;0;0;201700;5001
112;朱彦西;Zhu Yanxi;4;0;7;63;72;85;70;81;70;69;66;72;80;71;75;73;74;35;14;0;0;1;0;0;201100;5001
113;张才仁;Zhang Cairen;2;0;6;68;71;85;74;71;69;71;72;70;84;72;76;72;74;30;10;北京;6;3;0;0;201500;5001
114;田宇翔;Tian Yuxiang;1;0;9;68;72;74;69;75;61;66;75;75;78;70;73;71;72;32;14;0;0;2;0;0;201100;5001
115;温淞;Wen Song;3;4;6;62;72;72;61;73;71;73;55;69;70;56;64;68;67;25;1;0;0;1;0;0;0;5001
116;范依铭;Fan Yiming;4;0;7;73;71;68;63;67;69;66;62;69;63;62;68;65;67;23;4;北京;6;2;0;0;202100;5001
117;方硕;Fang Shuo;2;0;8;74;57;69;63;67;67;65;66;65;69;68;66;65;66;34;17;北京;6;2;0;0;200800;2887
118;职闯;Zhi Cuang;1;2;6;62;72;72;61;73;71;73;55;69;70;56;65;66;65;22;1;北京;6;1;0;0;0;5001
119;纪守家;Shou Jia Ji;4;0;6;63;62;63;58;72;61;59;62;65;60;60;59;62;61;22;1;0;0;2;0;0;202400;5001
120;孙亚辉;Ya Hui Sun;2;0;6;66;55;62;57;52;67;63;65;64;64;66;58;59;59;21;1;北京;6;3;0;0;202400;5001
121;张鹏珲;Zhang Pengyue;4;3;6;63;48;48;47;47;67;61;62;62;60;64;50;55;53;21;1;北京;6;1;0;0;0;5001
122;金意彭;Yi Peng Jin;2;0;6;66;47;48;47;49;67;61;62;62;60;64;50;56;53;21;1;0;0;2;0;0;202400;5001
123;姜文;Jiang Wen;2;0;6;65;47;48;48;48;71;61;62;62;60;64;51;57;53;29;9;北京;6;3;0;0;201600;5001
124;萨林杰;JARED SULLINGER;4;0;10;75;90;81;89;85;71;93;74;90;79;86;91;86;88;33;4;广东;26;1;0;0;202100;1428
125;特莱斯;TRAVIS TRICE;1;0;8;88;71;90;89;79;68;70;81;70;85;83;90;78;85;32;2;福建;25;1;0;0;0;5001
126;里勒;GRANT RILLER;3;0;8;78;93;76;90;79;70;72;84;91;76;87;89;79;85;28;2;北控;7;1;0;0;202400;1965
893;葛志鹏;Ge Zhipeng;1;0;7;62;72;72;61;73;71;73;55;69;70;56;67;70;69;19;0;北控;7;0;0;0;0;5001
127;沈梓捷;Shen ZiJie;5;0;9;71;90;49;70;72;85;84;77;86;62;68;75;84;80;27;9;北控;7;1;0;0;201600;2875
128;廖三宁;Liao Sanning;2;0;10;78;85;77;75;88;70;71;70;78;75;76;80;78;79;24;4;北控;7;5;0;0;202100;3136
129;邹雨宸;Zou Yuchen;5;0;9;67;89;68;71;78;75;77;72;81;65;70;77;78;78;28;11;北控;7;1;0;0;201400;714
130;朱松玮;zhusongwei;4;3;8;71;79;84;69;88;72;68;71;73;71;68;76;78;77;28;1;北控;7;1;0;0;0;745
131;张帆;Zhang Fan;2;0;8;74;74;85;65;91;67;68;73;71;81;71;76;78;77;29;10;北控;7;3;0;0;201500;5001
132;林彦廷;Yan Ting Lin;1;0;7;75;77;79;69;70;70;67;74;72;82;69;78;71;75;24;1;0;0;2;0;0;202400;5001
133;刘晓宇;Liu Xiaoyu;1;0;8;74;74;70;60;70;69;66;72;70;73;67;71;70;71;36;19;宁波;23;1;0;0;200600;5001
642;泰瑞-泰勒;Terry Taylor;3;4;6;61;78;70;76;76;62;73;60;66;70;67;69;68;69;25;0;0;0;0;0;0;200;1484
134;陈国豪;Guo Hao Chen;4;0;8;64;76;74;71;62;69;67;66;70;64;67;71;65;68;25;2;广州;28;2;0;0;202301;2687
135;矣进宏;Jin Hong Yi;2;0;6;62;85;65;71;64;71;60;73;68;70;70;69;67;68;31;2;0;0;2;0;0;202325;5001
136;金鑫;Jin Xin;3;0;7;65;66;63;75;69;67;66;67;66;67;67;66;67;67;30;8;北控;7;3;0;0;201700;5001
137;丁柏瑜;Ding Boyu;1;2;7;62;72;72;61;73;71;73;55;69;70;56;65;66;65;20;1;北控;7;1;0;0;0;5001
138;费奕晨;Fei Yichen;2;1;8;62;72;72;61;73;71;73;55;69;70;56;64;67;65;21;1;北控;7;1;0;0;0;5001
139;李秉聪;Li Bingcong;2;3;7;62;72;72;61;73;71;73;55;69;70;56;64;67;65;20;1;北控;7;1;0;0;0;5001
140;孟子凯;Meng Zikai;4;0;7;64;50;73;67;58;68;65;63;63;66;66;62;61;62;28;7;北控;7;3;0;0;201800;5001
141;江林俊;Jiang Linjun;3;2;7;65;56;61;74;52;67;62;65;64;66;65;63;58;61;21;1;北控;7;1;0;0;0;5001
142;俞长栋;Yu Changdong;5;0;6;63;53;54;46;54;71;63;67;63;62;64;54;61;58;33;15;宁波;23;2;0;0;201000;5001
143;詹理为;Li Wei Zhan;1;0;6;65;57;47;51;51;67;61;65;64;61;65;55;58;56;21;1;0;0;2;0;0;202400;5001
144;大卫-詹姆斯;DAVID JAMES;4;0;9;74;87;84;87;94;72;95;75;82;87;85;89;90;90;28;3;天津;8;1;0;0;202200;5001
850;大卫-詹姆斯;DAVID JAMES;4;0;9;74;87;84;87;94;72;95;75;82;87;85;89;90;90;28;3;0;0;1;0;0;202200;5001
145;林庭谦;Benson Lin;2;0;8;80;80;90;79;92;70;69;79;75;84;84;86;82;84;25;5;天津;8;3;0;0;202003;5001
146;哈姆雷特;JAVION HAMLET;1;0;6;79;81;82;95;72;68;71;69;76;71;98;88;71;80;27;1;天津;8;1;0;0;202400;5001
147;拉维特;MARCUS LOVETT;2;1;8;77;80;86;87;79;67;69;71;75;82;81;85;73;79;30;1;南京;17;1;0;0;0;5001
148;时德帅;Shi Deshuai;5;0;8;68;69;83;69;78;69;72;71;68;76;68;73;74;74;29;10;天津;8;1;0;0;201500;5001
149;李荣培;Li Rongpei;2;0;6;71;67;76;65;71;74;75;79;71;81;66;71;77;74;29;11;天津;8;3;0;0;201400;5001
150;高世鳌;Gao Shiao;5;0;6;64;76;47;52;73;80;75;66;70;61;65;62;77;70;24;5;天津;8;4;0;0;202000;5001
151;郑煜睿;Zheng Yurui;5;4;7;62;72;72;61;73;71;73;55;69;70;56;67;70;69;21;1;0;0;1;0;0;0;5001
152;田雨;Tian Yu;5;0;7;65;65;82;73;70;68;67;64;67;74;69;71;67;69;28;7;天津;8;2;0;0;201800;5001
153;张云梦;Zhang Yunmeng;3;0;6;66;71;68;64;70;69;66;70;69;67;67;66;69;68;25;6;天津;8;1;0;0;201900;5001
154;杜伯超;Bo Chao Du;5;0;7;64;67;60;69;68;73;68;66;67;64;70;66;69;68;25;2;北控;7;2;0;0;202304;5001
155;李宗霖;Zong Lin Li;5;0;7;66;67;68;63;67;68;68;69;67;67;68;67;67;67;22;1;天津;8;1;0;0;202400;5001
156;孙承信;Sun Chengxin;1;0;7;69;63;65;62;63;67;64;70;66;68;68;66;65;66;20;1;天津;8;1;0;0;0;5001
157;郑昊燃;Zheng Haoran;3;0;6;64;59;77;60;69;67;66;65;65;74;67;64;66;66;25;4;天津;8;1;0;0;202100;5001
158;姜博文;JiangBoWen;4;0;6;60;69;57;63;72;72;68;63;65;63;64;61;69;66;22;3;0;0;2;0;0;202200;5001
159;马如一;Ma Ruyi;2;3;7;62;72;72;61;73;71;73;55;69;70;56;64;67;65;21;1;天津;8;1;0;0;0;5001
160;谷泽浴;Gu Zeyu;1;0;6;70;64;64;62;63;67;64;67;66;66;66;65;64;65;28;5;天津;8;2;0;0;202000;5001
161;张益炅;Ma Ruyi;2;3;7;64;49;74;60;60;69;64;65;63;65;67;61;63;62;21;1;北控;7;2;0;0;0;5001
162;王一方;WangYiFang;2;0;6;66;54;63;65;63;68;64;67;64;66;67;61;64;62;22;3;天津;8;2;0;0;202200;5001
163;赖俊豪;Lai Junhao;5;0;6;65;56;59;55;61;71;65;66;64;64;66;59;65;62;29;10;天津;8;3;0;0;201500;5001
164;叶尔潘-叶尔波;Ee Bo Ye;4;3;7;63;51;57;52;54;67;64;62;63;64;65;55;59;57;21;1;0;0;1;0;0;202411;5001
165;岳鸿博;YueHongBo;3;0;7;64;57;52;46;53;69;63;62;64;62;64;54;59;57;22;4;天津;8;1;0;0;202100;2254
166;党瑞博;Dang Ruibo;3;0;7;63;51;52;46;48;67;61;65;63;62;64;52;57;55;26;4;天津;8;3;0;0;202100;5001
360;乔治-康迪特四世;George Conditt IV;5;4;8;71;70;62;61;66;73;63;52;72;66;62;67;64;65;23;1;0;0;0;0;0;0;5001
167;迪亚洛;Hamidou Diallo;3;2;8;76;94;76;90;78;74;86;87;95;78;99;91;86;90;27;1;山西;9;1;0;0;0;937
