No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image
24;韩德君;Han Dejun;5;0;9;69;82;47;68;90;74;81;64;81;58;68;70;83;77;37;17;辽宁;2;2;0;0;200700;5001
25;谢里夫-库珀;SHARIFE COOPER;1;0;8;84;65;82;76;69;64;70;78;63;82;75;81;73;77;22;0;辽宁;2;1;0;0;202400;1168
26;付豪;Fu Hao;4;0;8;67;80;68;74;83;70;75;62;78;67;73;74;75;75;26;9;辽宁;2;1;0;0;201500;2890
27;李晓旭;Li Xiaoxu;4;0;8;67;69;71;65;80;71;80;70;69;71;67;69;78;74;33;19;辽宁;2;2;0;0;200500;2840
28;丛明晨;Cong Mingchen;2;0;6;66;67;76;66;74;69;66;70;65;74;65;68;70;69;29;10;辽宁;2;1;0;0;201400;5001
29;赵率舟;Zhao Shuaizhou;3;0;7;65;65;75;70;76;67;64;66;63;67;64;66;68;68;29;11;辽宁;2;4;0;0;201300;5001
30;鄢手骐;Yan Shouqi;2;0;6;68;60;78;69;68;66;65;70;64;69;68;68;67;67;27;6;辽宁;2;1;0;0;201800;5001
31;刘雁宇;Liu Yanyu;5;0;6;65;67;47;65;75;74;66;64;66;58;68;61;71;66;25;5;辽宁;2;2;0;0;201900;5001
32;俞泽辰;Yu Zechen;2;0;6;64;63;71;65;71;69;63;65;64;65;64;63;66;65;23;4;辽宁;2;4;0;0;202000;5001
33;李虎翼;Hu Yi Li;2;0;6;66;70;75;62;60;67;65;65;64;66;66;66;62;64;21;0;辽宁;2;1;0;0;202400;5001
34;卢梓杰;Lu Zijie;5;4;5;52;77;58;62;67;65;60;52;72;62;63;63;60;62;25;5;辽宁;2;1;0;0;201900;5001
35;张峻豪;Jun Hao Zhang;1;0;6;67;56;66;66;54;66;63;65;64;62;65;63;59;61;20;0;辽宁;2;2;0;0;202400;5001
36;周俊成;Zhou Juncheng;2;0;6;65;56;70;51;62;67;65;62;63;60;64;59;62;60;25;3;辽宁;2;1;0;0;202100;5001
37;马里亚尔-沙约克;MARIAL SHAYOK;3;0;8;75;74;88;80;86;71;73;77;75;82;78;82;80;82;28;0;山东;3;1;0;0;202400;2120
38;高诗岩;Gao ShiYan;1;0;8;87;68;72;79;80;66;76;83;70;74;77;80;81;81;28;9;山东;3;3;0;0;201500;2905
39;特洛伊-吉伦沃特;TROY GILLENWATER;4;0;9;68;84;77;87;85;71;79;70;81;73;87;83;80;81;35;4;山东;3;1;0;0;202000;5001
40;陶汉林;Tao Hanlin;5;0;8;68;78;47;80;84;74;82;70;77;58;81;72;82;77;32;15;山东;3;3;0;0;200900;2835
41;贾诚;Jia Cheng;5;0;6;67;70;72;73;84;74;72;69;67;71;75;71;78;75;32;5;山东;3;1;0;0;201900;5001
42;陈培东;Chen Peidong;2;0;6;76;72;82;68;66;69;68;74;72;82;69;77;70;74;25;5;山东;3;3;0;0;201900;5001
43;焦海龙;Jiao Hailong;4;0;6;67;67;70;69;83;78;75;65;66;68;69;68;79;74;27;8;山东;3;2;0;0;201600;5001
44;侯沛佐;Hou Peizuo;3;0;6;69;73;68;67;76;66;72;66;71;67;72;70;71;71;25;6;山东;3;2;0;0;201800;5001
45;乔文瀚;Qiao Wenhan;3;0;6;69;56;85;61;81;67;64;71;63;67;66;66;72;70;32;7;山东;3;2;0;0;201723;5001
46;何思雨;He Siyu;3;0;6;66;65;77;67;76;69;66;65;64;66;64;66;69;68;26;5;山东;3;3;0;0;201900;5001
47;刘毅;Liu Yi;3;0;6;67;70;71;66;77;66;65;66;69;62;65;66;69;68;27;4;山东;3;2;0;0;202010;5001
48;张辉;Zhang Hui;1;0;7;71;65;70;68;71;66;65;68;64;66;68;68;68;68;28;10;山东;3;2;0;0;201400;5001
49;邹昀轩;Jun Xuan Zou;3;0;7;72;73;66;63;69;69;64;59;72;66;65;68;64;67;20;0;山东;3;2;0;0;202400;5001
50;陈玖璋;Jiu Zhang Chen;2;0;6;67;68;69;64;69;67;64;65;65;64;65;65;65;65;23;0;山东;3;2;0;0;202400;5001
51;阿泽;Ze A;4;0;6;65;64;47;51;77;70;64;66;65;62;63;57;70;64;25;1;山东;3;2;0;0;202311;5001
52;刘野;YE LIU;1;0;7;82;55;75;60;57;49;62;64;57;75;61;70;56;64;21;0;山东;3;2;0;0;202400;5001
53;马振钧;Ma Zhenjun;3;0;6;65;69;52;64;62;66;63;64;65;61;65;61;62;62;21;0;山东;3;2;0;0;202400;5001
54;张新宇;Zhang Xinyu;5;0;6;65;62;47;51;69;71;63;62;66;58;63;57;66;62;21;0;山东;3;1;0;0;202400;5001
55;赵仕浩;ZhaoShiHao;1;0;6;66;56;76;57;61;66;62;62;63;60;65;62;60;61;23;2;山东;3;1;0;0;202210;5001
56;杨瀚森;Yang Hansen;5;0;10;75;86;62;76;84;95;89;70;86;60;77;80;93;87;18;0;青岛;4;3;0;0;202400;730
57;迈尔斯-鲍威尔;MYLES POWELL;1;2;9;82;83;87;70;83;70;79;78;88;92;75;88;82;85;26;0;青岛;4;1;0;0;202400;1704
58;斯特凡-穆迪;STEFAN MOODY;1;0;8;83;76;76;65;80;69;74;73;74;78;69;78;77;78;30;0;青岛;4;1;0;0;202400;5001
59;王睿泽;Wang Ruize;3;0;8;71;76;86;68;82;69;72;73;76;89;69;78;76;78;28;5;青岛;4;3;0;0;201900;2475
60;马尔科-查卡莱维奇;MARKO CAKAREVIC;4;0;7;63;78;75;73;82;70;76;66;81;82;76;77;76;77;36;0;青岛;4;1;0;0;202400;5001
61;赵嘉义;Zhao Jiayi;4;0;8;69;75;85;70;75;69;75;68;74;77;68;76;73;75;25;5;青岛;4;3;0;0;201900;5001
62;郭奇芳;Qi Fang Guo;2;0;7;81;63;83;60;75;54;71;70;67;76;68;73;68;71;25;1;青岛;4;2;0;0;202307;5001
63;段昂君;Duan Angjun;2;0;8;69;68;76;66;63;69;66;69;71;74;69;71;66;68;21;0;青岛;4;2;0;0;202400;5001
64;郭彬峰;GuoBinFeng;3;1;6;69;67;70;74;71;61;62;68;65;72;70;70;64;68;21;2;青岛;4;1;0;0;202200;5001
65;纪卓;Ji Zhuo;4;0;7;66;65;68;70;75;70;68;65;65;65;65;66;70;68;23;4;青岛;4;4;0;0;202000;5001
66;吕俊虎;Junhu Lv;4;0;6;66;65;70;67;77;69;68;66;65;65;64;66;71;68;25;3;青岛;4;3;0;0;202114;5001
67;杨金蒙;Yang Jinmeng;2;0;7;67;69;69;69;71;66;64;71;68;66;64;66;68;67;28;9;青岛;4;1;0;0;201500;5001
68;区俊炫;Ou Junxuan;5;0;6;65;67;47;62;79;73;66;62;66;58;64;60;72;66;25;2;青岛;4;1;0;0;202201;5001
69;王洪;Wang Hong;1;0;6;71;57;59;74;69;66;64;69;63;61;64;64;67;65;31;8;青岛;4;2;0;0;201600;5001
70;范汇鎏;FanHuiLiu;2;0;6;65;64;68;66;62;66;64;65;64;61;65;63;63;63;25;2;青岛;4;1;0;0;202203;5001
71;常浩然;Chang Haoran;4;5;6;64;73;67;56;62;63;63;49;70;65;60;65;57;61;20;0;青岛;4;2;0;0;202400;5001
72;马俊杰;Ma Junjie;3;4;7;66;59;59;59;73;63;60;57;65;61;60;58;61;61;19;2;青岛;4;2;0;0;202200;5001
73;马志轩;MaZhiXuan;1;0;6;69;57;72;66;64;56;61;58;54;69;63;65;57;61;19;2;青岛;4;2;0;0;202200;5001
74;宋文浩;SongWenHao;1;2;6;75;55;74;63;54;50;62;60;57;69;62;67;53;61;19;2;青岛;4;3;0;0;202200;5001
75;程望樊;ChengWangFan;1;0;7;74;56;71;58;66;52;52;60;58;70;58;65;55;60;20;2;青岛;4;2;0;0;202200;5001
76;张效炎;ZhangXiaoYan;1;2;6;76;60;59;53;52;58;64;67;59;63;54;60;58;59;19;0;青岛;4;2;0;0;202400;5001
77;张科迪;Zhang Kedi;3;4;6;61;68;55;55;58;52;60;68;61;62;56;56;56;57;19;0;青岛;4;3;0;0;202400;5001
78;莱斯特-哈德森;Lester Hudson;2;0;7;86;80;84;83;83;74;72;75;83;90;90;90;79;85;39;0;雪狼;5;1;0;0;202400;1822
79;泰勒-约翰斯;TAYLOR MAURICE JOHNS;5;0;7;75;85;75;65;76;75;87;67;83;76;71;81;80;81;29;0;雪狼;5;1;0;0;202400;5001
80;扎克-洛夫顿;Zach Lofton;2;0;7;84;80;83;77;74;71;71;74;77;85;80;85;74;80;31;0;雪狼;5;1;0;0;202400;2957
81;吴龙昊;Wu Longhao;2;1;6;71;73;80;78;77;66;63;74;81;84;80;79;71;76;33;10;雪狼;5;1;0;0;201400;5001
82;马库尔-梅克;Makur Maker;4;0;7;66;77;74;66;72;79;74;71;80;70;70;73;76;75;23;0;雪狼;5;1;0;0;202400;5001
83;刘子豪;Liuzihao;4;3;6;67;75;68;74;74;73;74;62;75;72;74;74;72;73;30;5;雪狼;5;1;0;0;201900;5001
84;阿克卓力-巴海;Akjoli Bhai;5;0;6;63;75;59;67;68;79;78;58;76;59;62;67;74;71;26;3;雪狼;5;1;0;0;202100;5001
85;宋帅;Song Shuai;3;4;6;65;64;64;74;67;69;72;77;71;70;76;68;72;71;27;4;雪狼;5;1;0;0;202000;5001
86;孙锴祺;Sun Kaiqi;5;0;6;66;80;62;60;74;70;71;67;80;72;61;71;72;71;30;0;雪狼;5;1;0;0;202400;5001
87;郭凯伦;Karen Guo;1;2;6;70;71;73;67;74;66;64;68;75;75;64;72;68;70;28;5;雪狼;5;1;0;0;201900;5001
88;宋润杰;Song Runjie;3;4;6;70;65;67;65;74;67;67;75;64;70;67;66;72;70;27;6;雪狼;5;1;0;0;201800;5001
89;姚天一;YAO T.Y.;1;2;6;70;63;75;67;68;54;70;72;68;83;67;72;67;70;28;2;雪狼;5;1;0;0;202200;5001
90;韩文伟;Han Wenwei;5;0;6;71;72;59;67;74;70;67;54;76;65;68;70;68;69;24;3;雪狼;5;1;0;0;202100;5001
91;刘琦;Liu Qi;5;0;6;66;71;61;71;70;69;71;67;72;65;72;69;70;69;27;7;雪狼;5;1;0;0;201700;5001
92;史文龙;Shi Wenlong;5;0;6;60;76;66;70;70;71;67;59;75;64;71;70;67;69;25;4;雪狼;5;1;0;0;202000;5001
93;孙旭;SUN XU;3;4;6;65;70;76;63;67;66;70;68;69;74;65;68;67;69;24;4;雪狼;5;1;0;0;202000;5001
94;孙智炜;Sun Zhiwei;4;3;6;60;72;68;60;77;72;73;53;74;64;64;65;71;68;23;4;雪狼;5;1;0;0;202000;5001
95;TJ-利夫;T.J. LEAF;4;0;9;72;84;73;82;87;78;82;70;82;63;80;81;84;83;27;3;北京;6;1;0;0;202100;1968
96;范子铭;Fan ziming;5;0;9;70;83;47;81;85;75;79;70;81;58;81;75;81;78;26;8;北京;6;4;0;0;201600;5001
97;翟晓川;Zhai Xiaochuan;4;0;9;72;75;68;68;83;71;83;73;73;74;71;73;81;77;31;13;北京;6;1;0;0;201100;5001
98;马库斯-基恩;MARCUS KEENE;1;0;8;75;67;87;83;76;67;69;70;68;84;77;81;72;77;29;0;北京;6;1;0;0;202400;5001
99;曾凡博;Zeng Fanbo;3;0;10;66;70;79;68;82;84;71;69;71;76;69;71;79;76;21;2;北京;6;2;0;0;202200;421
100;阿斯起亚-布克;ASKIA BOOKER;2;0;8;79;74;69;81;76;67;70;71;76;72;80;77;72;75;30;4;北京;6;1;0;0;202000;5001
101;雷蒙;Lei Meng;3;0;7;70;69;82;77;80;66;69;74;67;71;72;74;74;75;28;9;北京;6;4;0;0;201500;5001
102;方硕;Fang Shuo;2;0;8;79;68;75;69;80;67;68;74;67;77;74;74;74;74;33;16;北京;6;2;0;0;200800;2887
103;孙思尧;Sun Siyao;4;0;6;62;71;68;69;81;81;70;60;71;68;72;69;76;73;27;5;北京;6;2;0;0;201900;5001
104;田宇翔;Tian Yuxiang;1;0;9;74;68;73;71;75;67;66;74;69;67;70;72;72;72;31;13;北京;6;2;0;0;201100;5001
105;张才仁;Zhang Cairen;2;0;6;69;68;77;68;78;66;67;69;66;75;69;71;71;71;29;9;北京;6;3;0;0;201500;5001
106;张卓;Zhang Zhuo;4;0;6;71;79;64;66;76;75;66;56;79;65;65;72;70;71;28;7;北京;6;1;0;0;201700;5001
107;朱彦西;Zhu Yanxi;4;0;7;65;56;81;68;81;69;64;64;62;71;64;66;71;69;34;13;北京;6;1;0;0;201100;5001
108;塔瑞克-加尼尤;Taruike Jianiyou;5;0;6;66;71;47;70;68;75;69;62;71;58;66;64;70;67;26;7;北京;6;1;0;0;201700;5001
109;姜文;Jiang Wen;2;0;6;67;65;80;68;68;67;64;64;63;64;64;67;65;66;28;8;北京;6;3;0;0;201600;5001
110;孙昊锋;Sun Haofeng;1;0;7;76;60;71;72;57;49;55;75;64;70;67;70;59;65;23;5;北京;6;1;0;0;201900;5001
111;孙亚辉;Ya Hui Sun;2;0;6;67;61;67;70;70;58;55;70;62;73;65;65;63;64;20;0;北京;6;3;0;0;202400;5001
112;金意彭;Yi Peng Jin;2;0;6;65;74;75;61;56;67;64;64;63;64;64;66;60;63;20;0;北京;6;2;0;0;202400;5001
113;范依铭;Fan Yiming;4;0;7;65;59;47;51;67;73;64;62;64;58;64;55;66;61;22;3;北京;6;2;0;0;202100;5001
114;纪守家;Shou Jia Ji;4;0;6;63;62;63;58;72;61;59;62;65;60;60;59;62;61;21;0;北京;6;2;0;0;202400;5001
115;凯-费尔德;KAY FELDER;1;0;9;89;69;74;85;81;70;74;86;72;79;87;85;83;84;29;5;北控;7;1;0;0;201900;964
116;邹雨宸;Zou Yuchen;5;0;9;69;82;64;77;87;87;80;73;81;63;75;77;88;83;27;10;北控;7;1;0;0;201400;5001
117;廖三宁;Liao Sanning;2;0;10;78;78;77;86;80;74;71;79;79;65;85;81;79;80;23;3;北控;7;5;0;0;202100;3136
118;格兰特-里勒;GRANT RILLER;3;0;8;72;77;74;88;85;69;69;70;74;67;82;78;75;78;27;0;北控;7;1;0;0;202400;1965
119;张帆;Zhang Fan;2;0;8;75;68;91;80;80;67;70;71;70;87;76;82;74;78;28;9;北控;7;3;0;0;201500;5001
120;亚卡尔-桑普森;JAKARR SAMPSON;4;0;7;67;73;68;81;85;74;74;70;72;58;78;72;79;76;31;6;北控;7;1;0;0;201800;2116
121;陈国豪;Guo Hao Chen;4;0;8;67;70;65;77;85;77;73;65;71;62;69;69;79;74;24;1;北控;7;2;0;0;202301;2687
122;王少杰;Wang Shaojie;5;0;7;67;74;47;68;81;77;74;71;74;58;69;66;79;73;27;5;北控;7;1;0;0;201900;5001
123;孟子凯;Meng Zikai;4;0;7;67;65;78;80;80;70;69;66;66;73;69;72;73;72;27;6;北控;7;3;0;0;201800;5001
124;俞长栋;Yu Changdong;5;0;6;66;74;65;71;75;71;71;66;68;62;66;69;72;71;32;14;北控;7;2;0;0;201000;5001
125;刘晓宇;Liu Xiaoyu;1;0;8;71;66;68;67;76;67;66;70;65;68;67;68;71;69;35;18;北控;7;1;0;0;200600;5001
126;金鑫;Jin Xin;3;0;7;66;70;80;63;73;67;68;62;64;69;66;68;67;68;29;7;北控;7;3;0;0;201700;5001
127;矣进宏;Jin Hong Yi;2;0;6;62;85;65;71;64;71;60;73;68;70;70;69;67;68;30;1;北控;7;2;0;0;202325;5001
128;李玮颢;Li Weihao;3;0;9;65;60;66;70;78;70;64;64;64;60;66;63;69;67;26;3;北控;7;3;0;0;202100;5001
129;林彦廷;Yan Ting Lin;1;0;7;68;66;73;63;61;67;65;68;65;65;65;66;64;65;23;0;北控;7;2;0;0;202400;5001
130;孔令韬;Ling Tao Kong;3;0;7;68;61;61;61;73;56;73;61;68;65;66;62;65;64;22;0;北控;7;1;0;0;202400;5001
131;詹理为;Li Wei Zhan;1;0;6;75;51;59;61;66;49;64;60;56;66;59;61;58;60;20;0;北控;7;2;0;0;202400;5001
132;大卫-詹姆斯;DAVID JAMES;4;0;9;62;90;86;81;87;72;95;66;86;85;80;85;85;85;27;2;天津;8;1;0;0;202200;5001
133;林庭谦;Benson Lin;2;0;8;82;71;75;79;79;69;69;82;73;83;77;80;78;79;24;4;天津;8;3;0;0;202003;5001
134;时德帅;Shi Deshuai;5;0;8;71;70;81;70;84;70;75;86;70;77;71;75;81;78;28;9;天津;8;1;0;0;201500;5001
135;泰勒-罗切斯特;TAYLOR ROCHESTIE;1;0;8;80;65;84;84;72;66;68;69;67;79;77;82;69;76;38;6;天津;8;1;0;0;201800;5001
136;杜伯超;Bo Chao Du;5;0;7;64;79;47;79;68;86;78;68;75;59;76;70;79;74;24;1;天津;8;2;0;0;202304;5001
137;张云梦;Zhang Yunmeng;3;0;6;68;72;77;71;75;69;69;77;71;76;70;72;74;74;24;5;天津;8;1;0;0;201900;5001
138;李荣培;Li Rongpei;2;0;6;73;67;80;65;71;67;70;74;67;80;71;73;72;73;28;10;天津;8;3;0;0;201400;5001
139;田雨;Tian Yu;5;0;7;66;71;79;75;70;70;70;71;68;77;68;74;70;72;27;6;天津;8;2;0;0;201800;5001
140;谷泽浴;Gu Zeyu;1;0;6;75;68;65;73;74;66;67;71;68;68;67;71;71;71;27;4;天津;8;2;0;0;202000;5001
141;赖俊豪;Lai Junhao;5;0;6;66;68;62;67;77;73;71;69;68;63;67;66;74;71;28;9;天津;8;3;0;0;201500;5001
142;李宗霖;Zong Lin Li;5;0;7;61;80;57;58;64;75;73;61;80;58;62;67;69;68;21;0;天津;8;1;0;0;202400;5001
143;贾维恩-哈姆雷特;JAVION HAMLET;1;0;6;70;64;70;79;62;66;64;65;67;62;72;70;63;67;26;0;天津;8;1;0;0;202400;5001
144;林晗;Han Lin;3;0;7;73;62;70;64;65;69;66;66;64;68;66;66;65;67;23;1;天津;8;2;0;0;202323;5001
145;姜博文;JiangBoWen;4;0;6;60;69;57;63;72;72;68;63;65;63;64;61;69;66;21;2;天津;8;2;0;0;202200;5001
146;王旭;Wang Xu;1;0;6;72;63;67;66;69;66;64;64;63;69;64;67;65;66;28;9;天津;8;1;0;0;201500;5001
147;岳鸿博;YueHongBo;3;0;7;65;65;66;71;68;67;66;64;67;61;64;64;65;66;21;3;天津;8;1;0;0;202100;5001
148;苏煜;Su Yu;1;0;6;78;60;63;60;69;61;61;69;63;69;57;66;65;65;23;0;天津;8;4;0;0;202400;5001
149;王一方;WangYiFang;2;0;6;66;62;69;68;69;66;63;68;65;65;65;64;66;65;21;2;天津;8;2;0;0;202200;5001
150;高世鳌;Gao Shiao;5;0;6;64;66;47;63;63;77;65;62;65;58;63;60;67;64;23;4;天津;8;4;0;0;202000;5001
151;郑昊燃;Zheng Haoran;3;0;6;65;74;69;67;58;67;63;62;63;70;65;67;60;64;24;3;天津;8;1;0;0;202100;5001
152;陈佳林;Jia Lin Chen;2;0;6;68;60;76;59;63;54;64;56;57;76;61;65;56;61;21;0;天津;8;1;0;0;202400;5001
153;党瑞博;Dang Ruibo;3;0;7;65;63;58;56;64;66;62;62;63;59;64;58;61;61;25;3;天津;8;3;0;0;202100;5001
154;阿列克谢-施韦德;ALEXEY SHVED;1;0;8;92;71;83;74;84;71;76;75;72;88;76;87;80;84;35;0;山西;9;1;0;0;202400;5001
155;葛昭宝;Ge Zhaobao;5;0;8;71;82;77;78;89;73;77;71;81;64;74;80;82;81;32;13;山西;9;4;0;0;201100;5001
156;本尼-博特赖特;BENNIE BOATWRIGHT;4;0;8;68;78;84;65;83;70;76;73;77;88;67;78;78;78;27;0;山西;9;1;0;0;202400;5001
157;原帅;Yuan Shuai;2;0;8;69;77;93;77;81;66;69;71;72;91;74;82;74;78;29;12;山西;9;5;0;0;201200;1186
158;张宁;Ning Zhang;3;0;8;71;77;84;71;82;67;75;71;79;83;70;78;76;78;27;4;山西;9;2;0;0;202000;743
159;以赛亚-泰勒;ISAIAH TAYLOR;1;0;8;81;78;68;75;81;70;68;70;79;66;74;77;74;76;29;0;山西;9;1;0;0;202400;1004
160;常林;Chang Lin;5;0;6;72;68;73;70;84;69;72;66;69;68;68;72;75;73;35;13;山西;9;1;0;0;201100;5001
161;邢志强;Xing Zhiqiang;4;0;6;66;60;82;64;80;74;75;73;64;81;64;68;78;73;30;13;山西;9;4;0;0;201100;5001
162;韩霈瑜;Han Peiyu;4;0;7;66;72;65;78;67;74;72;70;71;60;73;70;71;71;22;4;山西;9;3;0;0;202000;5001
163;张春军;Zhang Chunjun;3;0;6;67;67;66;70;76;67;66;69;66;62;65;65;70;68;36;14;山西;9;1;0;0;201000;5001
164;何家辰;He Jiachen;3;0;6;65;75;61;65;71;66;64;65;64;62;64;64;66;66;23;4;山西;9;2;0;0;202000;5001
165;刘冠岑;Liu Guancen;3;0;6;66;72;55;66;72;69;65;68;67;60;63;62;68;66;28;10;山西;9;2;0;0;201400;5001
166;栾利程;Luan licheng;2;0;6;66;71;74;65;65;70;66;65;67;64;64;66;65;66;26;3;山西;9;2;0;0;202100;5001
167;秦子龙;QinZiLong;3;0;7;75;62;67;73;67;63;60;62;67;71;68;70;61;66;21;0;山西;9;2;0;0;202400;5001
168;李柏润;Li Borun;1;0;6;71;66;68;67;59;57;64;63;60;70;68;68;59;63;24;6;山西;9;2;0;0;201800;5001
169;陈彭宇迪;Chen Pengyudi;1;0;6;67;66;59;63;57;66;64;66;67;61;63;62;61;62;23;4;山西;9;3;0;0;202000;5001
170;吕加晖;Lv Jiahui;5;0;6;65;67;47;51;57;69;64;62;67;58;64;59;61;60;19;0;山西;9;3;0;0;202400;5001
171;王哲;WangZhe;1;0;6;65;51;61;56;63;57;60;66;54;66;60;57;60;59;20;2;山西;9;2;0;0;202200;5001
172;詹姆斯-恩尼斯;JAMES ENNIS;3;2;7;72;83;87;88;80;75;95;74;82;89;84;87;85;87;33;0;石家庄;10;1;0;0;202400;957
173;尼西尔-布鲁克斯;Nysier Brooks;5;0;7;70;79;66;73;85;84;72;65;84;70;72;77;81;79;27;0;石家庄;10;1;0;0;202400;5001
174;香浓-肖特;SHANNON SHORTER;2;1;7;82;74;78;77;82;67;72;66;75;80;74;80;73;77;34;0;石家庄;10;1;0;0;202400;5001
175;艾麦尔-卡斯木;Aimer Kasim;3;4;7;78;72;70;70;75;71;73;62;71;73;67;73;71;73;26;3;石家庄;10;1;0;0;202100;5001
176;詹姆斯-恩尼斯;JAMES ENNIS;3;2;7;70;78;8;76;80;74;75;80;80;80;77;64;80;73;33;0;石家庄;10;1;0;0;202400;957
177;周子旭;Zhou Zixu;3;4;6;66;77;68;77;74;69;68;66;73;69;70;72;69;72;25;0;石家庄;10;1;0;0;202400;5001
178;高玮泽;Gao Weize;5;0;6;67;74;67;56;73;75;78;58;75;68;59;68;74;71;23;4;石家庄;10;1;0;0;202000;5001
179;木塔哈尔-孜比不拉;Mutahar Zibibra;4;3;6;60;72;77;68;70;72;73;65;74;73;67;70;71;71;28;0;石家庄;10;1;0;0;202400;5001
180;王浩宇;Wang Haoyu;4;3;6;73;79;68;66;76;68;70;61;77;66;68;73;70;71;26;0;石家庄;10;1;0;0;202400;5001
181;史亚峰;Shi Yafeng;5;0;6;70;76;58;59;67;80;67;58;77;66;65;69;70;70;25;0;石家庄;10;1;0;0;202400;5001
182;王富申;Wang Fushen;3;0;6;77;75;75;69;64;60;70;62;73;70;72;75;62;70;24;0;石家庄;10;1;0;0;202400;5001
183;艾克热木-尼亚孜;aikeremu·niyazi;5;0;6;61;80;63;64;67;72;75;58;74;61;66;68;70;69;23;3;石家庄;10;1;0;0;202100;5001
184;李展帆;liyifan;4;3;6;64;70;67;60;80;63;75;67;74;63;63;66;73;69;24;4;石家庄;10;1;0;0;202000;5001
185;王子麒;Wang Ziqi;3;4;6;70;64;74;70;68;67;71;66;65;70;72;69;68;69;27;8;石家庄;10;1;0;0;201600;5001
186;吴松峻;Wu Songjun;1;2;6;73;63;72;75;63;59;61;70;68;77;73;74;63;69;27;0;石家庄;10;1;0;0;202400;5001
