image;name;nameBirth;potential;positionFirst;positionSecond;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;draft;info;stateHeight;stateWeight
2023;丹-麦克克林托克;Dan McClintock;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2024;唐-麦克伦;Don MacLean;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2025;尼克-曼尼恩;Nico Mannion;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2026;肖恩-梅;Sean May;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2027;李-梅贝利;Lee Mayberry;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2028;萨姆-梅里尔;Sam Merrill;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2029;弗兰克-梅森;Frank Mason;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2030;罗杰-梅森;Roger Mason;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2031;斯凯拉-梅斯;Skylar Mays;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2032;斯维亚托斯拉夫-米哈伊柳克;Sviatoslav Mykhailiuk;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2033;杰纳森-威廉姆斯;Nate Williams;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2034;安东尼-米勒;Anthony Miller;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2035;昆西-米勒;Quincy Miller;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2036;马尔科姆-米勒;Malcolm Miller;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2037;约什-米诺特;Josh Minott;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2038;纳兹-米特鲁-朗;Naz Mitrou-Long;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2039;卢卡-米特洛维奇;Luka Mitrovic;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2040;朱万-摩根;Juwan Morgan;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2041;劳伦斯-摩腾;Lawrence Moten;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2042;埃里克-莫布利;Eric Mobley;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2043;亚当-莫科卡;Adam Mokoka;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2044;特伦斯-莫里斯;Terence Morris;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2045;乔纳森-莫特利;Johnathan Motley;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2046;汉诺-莫托拉;Hanno Möttölä;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2047;埃里克-默多克;Eric Murdock;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2048;泽维尔-穆恩;Xavier Moon;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2049;米查尔-穆尔德;Mychal Mulder;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2050;马丁-穆尔赛普;Martin Müürsepp;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2051;罗纳德-穆雷;Ronald Murray;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2052;马特-穆尼;Matthew Mooney;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2053;阿卜杜勒-纳迪尔;Abdel Nader;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2054;波斯简-纳赫巴;Bostjan Nachbar;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2055;埃东多-纳胡拉;Eduardo Najera;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2056;齐克-纳吉;Zeke Nnaji;5;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2057;李-耐龙;Lee Nailon;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2058;德梅特里斯-尼克尔斯;Demetris Nichols;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2059;布拉德-纽利;Brad Newley;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2060;马利克-纽曼;Malik Newman;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2061;约翰-纽曼;Johnny Newman;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2062;穆奇-诺里斯;Moochie Norris;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2063;小扎克-诺维尔;Zach Norvell;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2064;塔里克-欧文斯;Tariq Owens;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2065;贾斯廷-米纳亚;Justin Minaya;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2066;斯科特-帕吉特;Scott Padgett;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2067;安东尼-帕克;Anthony Parker;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2068;科斯塔斯-帕帕尼古拉乌;Kostas Papanikolaou;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2069;安热伊斯-帕塞奇尼克斯;Anzejs Pasecniks;5;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2070;鲁本-帕特森;Ruben Patterson;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2071;凯文-潘戈斯;Kevin Pangos;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2072;伊夫-庞斯;Yves Pons;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2073;多米尼克-庞特;Dominic Pointer;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2074;德维恩-培根;Dwayne Bacon;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2075;诺维尔-佩莱;Norvel Pelle;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2076;埃利奧特-佩里;Elliot Perry;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2077;蒂姆-佩里;Tim Perry;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2078;乔汉-佩特洛;Johan Petro;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2079;蒂姆-皮克特;Tim Pickett;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2080;杰莫科-皮克特;Jamorko Pickett;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2081;科斯塔-皮洛维奇;Kosta Perovic;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2082;莫里斯-皮特森;Morris Peterson;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2083;艾德-平克尼;Ed Pinckney;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2084;佐兰-普拉尼尼奇;Zoran Planinic;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2085;AJ-普莱斯;A.J. Price;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2086;布伦特-普莱斯;Brent Price;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2087;特伦特-普莱斯特德;Trent Plaisted;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2088;杰森-普雷斯顿;Jason Preston;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2089;约书亚-普里莫;Joshua Primo;6;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2090;乔治-普林特基斯;Georgios Printezis;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2091;拉龙-普罗菲特;Laron Profit;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2092;加布里埃莱-普罗奇达;Gabriele Procida;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2093;樊尚-普瓦里耶;Vincent Poirier;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2094;乔治-齐代克;George Zidek;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2095;斯蒂芬-齐默尔曼;Stephen Zimmerman;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2096;克里斯-奇奥萨;Chris Chiozza;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2097;泽尔-奇特汉;Zylan Cheatham;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2098;约翰-巴特勒;John Butler;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2099;以赛亚-乔;Isaiah Joe;7;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2100;鲍比-琼斯;Bobby Jones;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2101;查尔斯-琼斯;Charles Jones;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2102;多塔尔-琼斯;Dontae' Antijuaine Jones;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2103;所罗门-琼斯;Solomon Jones;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2104;朱梅因-琼斯;Jumaine Jones;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2105;安特-日日奇;Ante Žižić;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2106;JR-瑞德;J.R. Reid;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2107;奥利维尔-萨尔;Olivier Sarr;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2108;索马利亚-萨马基;Soumaila Samake;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2109;莱斯特-基诺内斯;Lester Quinones;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2110;贾森-萨瑟;Jason Sasser;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2111;韦恩-塞尔登;Wayne Selden Jr.;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2112;凯弗-塞克斯;Keifer Sykes;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2113;拉蒙-塞申斯;Ramon Sessions;6;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2114;泽维尔-库克斯;Xavier Cooks;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2115;布拉洛-桑德夫;Bruno Sundov;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2116;亚卡尔-桑普森;Jakarr Sampson;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2117;桂-桑托斯;Gui Santos;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2118;安东尼-莫罗;Anthony Morrow;6;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2119;雷迪达斯-瑟布蒂斯;Renaldas Seibutis;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2120;马里亚尔-沙约克;Marial Shayok;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2121;高德-山姆高德;God Shammgod;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2122;贾斯汀-尚帕尼;Justin Champagnie;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2123;托尔尼克-申格利亚;Tornike Shengelia;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2124;绍柳斯-什托姆贝尔加斯;Saulius Štombergas;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2125;查尔斯-史密斯;Charles Cornelius Smith;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2126;查尔斯-史密斯;Charles Daniel Smith;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2127;道格-史密斯;Doug Smith;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2128;贾森-史密斯;Jason Smith;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2129;克里斯-史密斯;Sean Christian Smith;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2130;迈克尔-史密斯;Michael John Smith;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2131;扎伊尔-史密斯;Zhaire Smith;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2132;雷-斯波尔丁;Ray Spalding;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2133;弗拉迪米尔-斯蒂潘尼亚;Vladimir Stepania;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2134;尼克罗兹-斯哥蒂什维利;Nikoloz Tskitishvili;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2135;布莱恩-斯金纳;Brian Skinner;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2136;阿德米拉尔-斯科菲尔德;Admiral Schofield;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2137;索夫克里斯-斯科塞尼提斯;Sofoklis Schortsanitis;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2138;拜伦-斯科特;Byron Scott;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2139;杰伊-斯库布;Jay Scrubb;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2140;雷杰-斯莱特;Reggie Slater;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2141;特马尔-斯利;Tamar Slay;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2142;尤洛斯-斯洛卡;Uros Slokar;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2143;泽维尔-斯尼德;Xavier Sneed;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2144;马泰奥-斯帕尼奥洛;Matteo Spagnolo;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2145;奥马里-斯佩尔曼;Omari Spellman;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2146;卡修斯-斯坦利;Cassius Stanley;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2147;德雷克-斯特朗;Derek Strong;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2148;DJ-斯特罗贝里;DJ Strawberry;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2149;拉里-斯图尔特;Larry Stewart;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2150;凯莱布-斯瓦尼根;Caleb Swanigan;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2151;迈克尔-斯维特尼;Michael Sweetney;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2152;雷琼-塔克;Rayjon Tucker;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2153;迈克-泰勒;Mike Taylor;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2154;莫里斯-泰勒;Maurice Taylor;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2155;特雷-汤普金斯;Trey Thompkins;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2156;布鲁克斯-汤普森;Brooks Thompson;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2157;迪昂-汤普森;Dijon Thompson;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2158;卢克-特拉弗斯;Luke Travers;6;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2159;塞戴尔-特莱特;Sedale Threatt;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2160;雷肖恩-特里;Reyshawn Terry;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2161;泰雷尔-特里;Tyrell Terry;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2162;阿朗佐-特里尔;Allonzo Trier;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2163;瓦伊曼-提斯代尔;Wayman Tisdale;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2164;安迪-图尔森;Andy Toolson;5;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2165;阿克塞尔-图帕内;Axel Toupane;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2166;JP-托克托;J.P. Tokoto;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2167;德扬-托马舍维奇;Dejan Tomašević;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2168;布罗德里克-托马斯;Brodric Thomas;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2169;凯里-托马斯;Khyri Thomas;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2170;肯尼-托马斯;Kenny Thomas;5;3;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2171;马特-托马斯;Matt Thomas;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2172;伊坦-托马斯;Etan Thomas;5;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2173;约翰-托马斯;John Thomas;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2174;米伦科-托皮奇;Milenko Topić;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2175;达胡安-瓦格纳;Dajuan Wagner;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2176;莫里茨-瓦格纳;Moritz Wagner;7;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2177;杰拉德-威尔金斯;Gerald Wilkins;5;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2178;克里斯-威尔考克斯;Chris Wilcox;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2179;林德尔-威金顿;Lindell Wigginton;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2180;阿尔文-威廉姆斯;Alvin Williams;5;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2181;布兰顿-威廉姆斯;Brandon Williams;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2182;赫伯-威廉姆斯;Herb Williams;5;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2183;杰伊-威廉姆斯;Jay Williams;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2184;罗伦佐-威廉姆斯;Lorenzo Williams;5;5;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2185;蒙蒂-威廉姆斯;Monty Williams;5;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2186;米切尔-威廉姆斯;Micheal Douglas Williams;5;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2187;尼格尔-威廉姆斯-戈斯;Nigel Williams-Goss;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2188;乔丹-威廉姆斯;Jordan Williams;5;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2189;乔纳森-威廉姆斯;Johnathan Williams;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2190;沙蒙德-威廉姆斯;Shammond Williams;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2191;斯格特-威廉姆斯;Scott Williams;5;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2192;雅克赫巴-迪亚瓦拉;Yakhouba Diawara;5;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2193;索尼-威姆斯;Clarence Weems;5;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
2194;克莱伦斯-威瑟斯庞;Clarence Weatherspoon;5;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0;0;0
