No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
14;比尔-梅尔西奥尼;Bill Melchionni;1;0;9;95;87;68;86;84;60;63;74;85;71;83;89;73;82;27;5;篮网;2;4;0;196619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;比利-鲍尔兹;Billy Paultz;5;4;8;58;85;60;73;87;86;90;59;76;60;68;71;89;80;23;1;篮网;2;3;0;1970103;2537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;约翰-洛奇;John Roche;2;1;7;70;83;71;81;80;60;62;73;71;72;73;75;70;73;22;0;篮网;2;2;0;197114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;特鲁珀-华盛顿;Trooper Washington;4;5;8;60;80;55;62;86;71;84;65;75;57;56;64;81;72;27;6;篮网;2;2;0;196750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;奧利-泰勒;Ollie Taylor;2;0;6;70;72;73;66;62;62;57;58;64;73;68;56;69;63;24;1;篮网;2;1;0;1970189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;吉恩-摩尔;Gene Moore;5;0;8;63;82;60;69;69;72;70;55;80;64;67;68;73;70;26;4;篮网;2;1;0;196822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;吉姆-亚德;Jim Ard;5;0;6;56;75;54;70;60;71;69;49;71;59;65;62;66;64;23;1;篮网;2;0;0;197006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;曼尼-里克斯;Manny Leaks;5;0;6;59;72;54;61;66;65;68;45;70;56;63;61;63;62;25;4;篮网;2;1;0;196820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;约翰-巴图姆;Johnny Baum;3;0;6;72;74;61;71;69;62;65;68;74;66;70;65;72;70;25;2;篮网;2;2;0;1968187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;乔-德普;Joe DePre;2;1;6;71;70;66;74;56;56;61;67;70;67;68;57;69;64;24;1;篮网;2;2;0;197029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;鲍勃-格里森;Bob Greacen;3;0;6;73;58;73;63;56;64;64;60;57;70;67;58;65;61;24;2;篮网;2;1;0;196917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;桑尼-多夫;Sonny Dove;4;0;6;69;73;56;59;63;73;58;51;71;63;60;60;65;62;26;4;篮网;2;1;0;196704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;埃尔纳多-韦伯斯特;Elnardo Webster;3;0;6;65;68;64;73;58;54;71;64;68;61;69;59;67;64;23;0;篮网;2;1;0;196954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;贾勒特-达勒姆;Jarrett Durham;3;4;6;63;68;52;64;60;63;56;67;68;55;66;59;60;60;22;0;篮网;2;1;0;197162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;沃尔特-弗雷泽;Walt Frazier;1;0;10;76;93;77;91;95;67;68;90;89;79;83;88;87;87;26;4;尼克斯;3;2;0;196705;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;戴夫-德布斯切尔;Dave DeBusschere;4;3;10;65;92;59;72;94;91;90;70;89;60;68;75;95;85;31;10;尼克斯;3;3;0;196204;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;杰里-卢卡斯;Jerry Lucas;4;5;10;63;95;60;77;93;88;97;67;89;61;72;77;95;86;31;8;尼克斯;3;2;0;196206;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;比尔-布拉德利;Bill Bradley;3;0;8;73;84;68;78;87;68;74;67;76;69;73;76;76;77;28;6;尼克斯;3;3;0;196502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;威利斯-里德;Willis Reed;5;4;10;57;92;55;64;80;89;87;58;83;56;60;70;86;78;29;7;尼克斯;3;1;0;196410;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;迪克-巴尼特;Dick Barnett;2;0;8;64;85;72;88;83;63;61;72;75;73;77;77;71;74;35;11;尼克斯;3;3;0;195905;997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;厄尔-门罗;Earl Monroe;2;1;9;74;88;80;86;84;59;68;71;80;80;79;84;72;79;27;4;尼克斯;3;2;0;196702;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;菲尔-杰克逊;Phil Jackson;4;0;6;71;66;62;64;68;67;71;65;62;63;59;64;67;66;26;3;尼克斯;3;3;0;196717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;迪恩-梅明格;Dean Meminger;2;1;6;66;70;58;72;59;53;62;65;61;61;62;62;57;60;23;0;尼克斯;3;4;0;197116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;卢瑟-拉克利;Luther Rackley;5;0;6;55;72;53;59;72;72;66;55;64;54;53;57;67;63;25;2;尼克斯;3;2;0;196937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;埃迪-马斯特;Eddie Mast;4;0;6;67;78;54;60;62;60;63;56;63;56;55;62;57;60;23;1;尼克斯;3;3;0;196940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;格雷格-菲尔摩尔;Greg Fillmore;5;0;5;51;72;48;64;61;65;66;44;60;50;56;55;58;57;23;1;尼克斯;3;3;0;1970136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;查理-保尔克;Charlie Paulk;4;0;5;56;72;51;65;67;60;61;52;61;54;57;57;58;57;25;2;尼克斯;3;2;0;196807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;埃迪-迈尔斯;Eddie Miles;2;1;8;72;73;64;80;63;66;62;68;66;66;71;70;63;67;31;8;尼克斯;3;1;0;196304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;比利-坎宁安;Billy Cunningham;3;4;10;70;91;81;89;90;64;88;73;87;80;83;87;83;86;28;6;76人;4;1;0;196507;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;比尔-布里奇斯;Bill Bridges;4;0;8;62;93;60;63;93;90;92;67;81;61;59;71;94;83;32;9;76人;4;1;0;196132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;鲍伯-卢尔;Bob Rule;5;0;8;64;96;57;78;93;86;81;65;82;58;75;78;89;84;27;4;76人;4;2;0;196719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;吉姆-华盛顿;Jim Washington;4;3;7;58;88;56;63;89;81;80;61;74;58;57;65;83;75;28;6;76人;4;1;0;196508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;哈尔-格里尔;Hal Greer;2;1;10;81;73;72;77;77;66;73;74;75;73;71;76;75;76;35;13;76人;4;2;0;195814;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;弗莱德-卡特;Fred Carter;2;1;7;83;73;72;71;66;69;67;71;65;73;66;74;68;72;26;2;76人;4;2;0;196943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;弗莱德-福斯特;Fred Foster;3;0;6;66;75;51;71;68;61;62;62;64;55;63;62;61;62;25;2;76人;4;2;0;196828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;达夫-瓦欧;Dave Wohl;1;0;6;66;63;58;61;66;58;52;69;61;62;51;59;60;59;22;0;76人;4;4;0;197146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;卢克-杰克逊;Luke Jackson;4;5;8;65;77;55;62;65;74;70;52;68;57;57;63;65;64;30;7;76人;4;1;0;196404;1095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;德尼斯-沃特雷;Dennis Awtrey;5;0;6;54;78;45;71;67;72;63;50;64;48;64;60;63;62;23;1;76人;4;3;0;197046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;艾尔-亨利;Al Henry;5;0;6;62;80;53;60;60;73;68;57;63;54;56;62;64;63;22;1;76人;4;1;0;197012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;杰克-琼斯;Jake Jones;2;0;6;62;62;62;70;64;53;58;58;61;65;59;60;55;58;22;0;76人;4;1;0;197197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;巴里-亚茨;Barry Yates;4;0;6;59;65;45;69;74;65;70;58;63;49;61;56;67;62;26;1;76人;4;1;0;1971131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;猛龙1;猛龙1;1;0;6;60;60;60;60;60;60;60;60;60;64;49;56;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;猛龙2;猛龙2;1;0;6;60;60;60;60;60;60;60;60;60;64;49;56;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;猛龙3;猛龙3;2;0;6;60;60;60;60;60;60;60;60;60;63;50;56;57;56;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;猛龙4;猛龙4;2;0;6;60;60;60;60;60;60;60;60;60;63;50;56;57;56;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;猛龙5;猛龙5;3;0;6;60;60;60;60;60;60;60;60;60;62;51;56;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;猛龙6;猛龙6;3;0;6;60;60;60;60;60;60;60;60;60;62;51;56;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;猛龙7;猛龙7;4;0;6;60;60;60;60;60;60;60;60;60;61;52;57;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;猛龙8;猛龙8;4;0;6;60;60;60;60;60;60;60;60;60;61;52;57;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;猛龙9;猛龙9;5;0;6;60;60;60;60;60;60;60;60;60;60;54;57;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;猛龙10;猛龙10;5;0;6;60;60;60;60;60;60;60;60;60;60;54;57;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;猛龙11;猛龙11;1;0;6;60;60;60;60;60;60;60;60;60;64;49;56;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;猛龙12;猛龙12;2;0;6;60;60;60;60;60;60;60;60;60;63;50;56;57;56;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;猛龙13;猛龙13;3;0;6;60;60;60;60;60;60;60;60;60;62;51;56;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;猛龙14;猛龙14;4;0;6;60;60;60;60;60;60;60;60;60;61;52;57;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;猛龙15;猛龙15;5;0;6;60;60;60;60;60;60;60;60;60;60;54;57;57;57;26;5;猛龙;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;鲍勃-乐福;Bob Love;4;3;9;57;90;63;87;90;91;78;84;83;63;79;77;92;85;29;5;公牛;6;2;0;196536;799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;杰里-斯隆;Jerry Sloan;2;3;8;63;88;78;86;88;76;78;93;78;78;76;79;91;84;29;6;公牛;6;2;0;196421;838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;切特-沃克;Chet Walker;3;0;8;61;90;75;88;94;68;74;76;80;75;79;80;82;82;31;9;公牛;6;1;0;196214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;诺姆-范里尔;Norm Van Lier;1;2;8;88;80;70;75;74;59;62;78;71;73;70;81;71;76;24;2;公牛;6;1;0;196934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;鲍伯-维斯;Bob Weiss;1;2;7;81;70;71;75;67;59;68;78;65;74;67;75;70;73;29;6;公牛;6;3;0;196525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;汤姆-波尔温克勒;Tom Boerwinkle;5;0;7;63;84;57;59;83;84;87;63;72;58;56;66;86;77;26;3;公牛;6;1;0;196804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;克里福德-雷;Clifford Ray;5;0;7;58;85;58;55;93;80;84;60;75;58;51;65;87;76;23;0;公牛;6;4;0;197140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;吉姆-金;Jim King;1;2;8;73;73;59;69;67;58;59;69;67;63;60;67;63;65;30;10;公牛;6;2;0;196314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;霍华德-波特;Howard Porter;3;4;7;69;71;60;70;67;63;65;69;65;62;63;65;65;66;23;0;公牛;6;4;0;197132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;肯尼-麦金托斯;Kenny McIntosh;3;0;6;72;68;54;68;62;57;63;63;61;57;61;62;59;61;23;0;公牛;6;4;0;197115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;吉米-科林斯;Jimmy Collins;2;0;6;74;66;64;68;62;54;62;71;61;66;60;65;61;63;25;1;公牛;6;1;0;197010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;杰克-丁金斯;Jackie Dinkins;3;0;6;70;72;55;73;62;64;59;62;62;58;66;65;59;63;22;0;公牛;6;4;0;1971150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;约翰-约翰逊;John Johnson;3;0;8;71;85;65;84;87;74;78;75;76;66;78;77;82;80;24;1;骑士;7;3;0;197007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;布奇-贝尔德;Butch Beard;1;0;8;86;83;68;80;84;58;64;83;75;71;74;81;77;79;24;2;骑士;7;2;0;196910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;奥斯汀-卡尔;Austin Carr;2;0;8;65;88;79;95;91;67;65;78;79;79;84;83;79;81;23;0;骑士;7;4;0;197101;1205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;里克-罗伯森;Rick Roberson;5;4;7;58;89;57;60;93;83;91;62;76;58;56;67;91;80;24;2;骑士;7;2;0;196915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;宾格-史密斯;Bingo Smith;2;3;7;64;82;72;87;86;65;67;68;72;73;76;75;73;74;25;2;骑士;7;2;0;196906;1243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;沃尔特-韦斯利;Walt Wesley;5;0;7;68;82;56;67;77;68;78;58;70;57;64;69;73;71;27;5;骑士;7;1;0;196606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;查理-戴维斯;Charlie Davis;2;0;6;71;63;56;71;64;53;60;61;61;60;62;61;57;59;22;0;骑士;7;4;0;1971120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;达夫-索恩森;Dave Sorenson;4;0;6;65;76;52;60;68;72;59;62;64;54;55;61;64;63;23;1;骑士;7;3;0;197026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;约翰-沃伦;John Warren;2;1;6;68;61;64;74;68;51;53;65;61;66;63;64;57;61;24;2;骑士;7;2;0;196911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;鲍比-华盛顿;Bobby Washington;1;0;6;74;63;61;74;59;46;54;63;60;65;63;67;53;60;22;0;骑士;7;1;0;197100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;史蒂夫-帕特森;Steve Patterson;5;0;6;54;75;48;68;70;74;60;56;64;50;61;59;65;62;23;1;骑士;7;3;0;1970129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;格雷格-霍华德;Greg Howard;4;0;6;60;69;53;66;63;61;58;59;62;55;59;59;57;58;24;1;骑士;7;3;0;197010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;杰克-里德戈尔;Jackie Ridgle;2;0;6;74;63;60;74;68;59;55;59;61;63;65;65;58;62;23;0;骑士;7;4;0;197141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;戴夫-宾;Dave Bing;1;2;10;84;88;82;86;87;65;68;88;84;83;80;90;83;87;28;5;活塞;8;3;0;196602;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;吉米-沃克;Jimmy Walker;2;1;8;78;86;80;90;90;65;65;78;78;80;84;86;78;82;27;4;活塞;8;2;0;196701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;鲍勃-兰尼尔;Bob Lanier;5;0;9;63;90;59;80;90;87;87;63;83;59;76;77;90;84;23;1;活塞;8;3;0;197001;2394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;柯蒂斯-罗威;Curtis Rowe;4;0;8;67;83;61;75;85;74;79;64;75;62;70;72;79;76;22;0;活塞;8;4;0;197111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;霍华德-科密维斯;Howard Komives;1;0;7;86;70;63;82;71;64;70;71;66;67;74;76;70;74;30;7;活塞;8;2;0;196415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;特里-狄辛格;Terry Dischinger;3;2;8;75;71;61;74;71;67;65;68;68;63;68;69;67;69;31;9;活塞;8;1;0;196210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;比尔-休伊特;Bill Hewitt;4;0;6;65;70;52;66;74;64;62;57;64;54;60;60;64;62;27;3;活塞;8;1;0;196811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;哈维-马莱特;Harvey Marlatt;2;0;6;67;63;56;67;64;59;55;67;61;60;57;59;59;59;23;1;活塞;8;3;0;1970224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;威利-诺伍德;Willie Norwood;3;0;6;66;65;54;69;67;63;59;65;62;57;61;60;62;61;24;0;活塞;8;4;0;196919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;埃尔文-穆勒;Erwin Mueller;4;5;6;63;79;56;70;66;64;64;63;64;58;64;65;63;64;27;5;活塞;8;1;0;196620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;史蒂夫-米克斯;Steve Mix;3;4;8;77;77;60;73;69;66;71;71;69;62;68;70;69;71;24;2;活塞;8;2;0;196921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;鲍伯-奎克;Bob Quick;3;0;6;65;74;56;70;69;65;59;65;64;59;62;63;63;64;25;3;活塞;8;1;0;196818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;以赛亚-威尔森;Isaiah Wilson;2;0;6;71;68;63;71;61;64;63;63;61;66;62;65;60;63;23;0;活塞;8;4;0;197129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;罗杰-布朗;Roger Brown;3;0;9;73;88;69;86;85;68;75;76;80;70;81;81;79;81;29;4;步行者;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;梅尔-丹尼尔斯;Mel Daniels;5;0;9;61;92;58;73;90;88;94;60;89;58;69;75;92;84;27;4;步行者;9;3;0;196709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;弗莱迪-刘易斯;Freddie Lewis;1;2;8;75;84;73;81;86;66;72;84;76;75;72;80;82;81;28;5;步行者;9;3;0;196688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;鲍勃-内特里奇;Bob Netolicky;4;5;8;61;89;59;80;88;78;86;63;78;60;74;73;84;79;29;4;步行者;9;1;0;196718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;乔治-麦金尼斯;George McGinnis;4;5;9;65;88;61;82;90;70;88;83;82;62;77;77;88;82;21;0;步行者;9;4;0;197322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;里克-芒特;Rick Mount;2;0;7;71;74;60;70;69;60;73;70;74;61;67;68;69;69;25;1;步行者;9;1;0;1970132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;比尔-凯勒;Bill Keller;1;2;6;74;74;73;72;62;49;58;65;73;75;67;57;75;67;24;2;步行者;9;5;0;196987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;达内尔-希尔曼;Darnell Hillman;4;5;7;57;74;54;67;68;66;64;62;68;61;62;64;63;63;22;0;步行者;9;1;0;197108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;拉里-坎农;Larry Cannon;2;0;6;76;61;72;63;70;56;57;67;62;71;67;61;67;64;24;2;步行者;9;1;0;196905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;唐-西德尔;Don Sidle;4;5;6;66;73;59;59;65;72;64;54;73;60;63;63;65;64;25;3;步行者;9;1;0;196829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
